	EntryID	Headword	Hypernym	Author
0	d2e1110Meyers-1905	Aale	Anguilla vulgaris	Flem
1	d2e1296Meyers-1905	Aalmutter	Zoarces viviparus	L
2	d2e1442Meyers-1905	Aaltierchen	Rhabdonema nigrovenosum	Rud
3	d2e1442Meyers-1905	Aaltierchen	Anguillula aceti	Ehrenb
3	d2e1442Meyers-1905	Aaltierchen	Anguillula aceti	Ehrenb
3	d2e1442Meyers-1905	Aaltierchen	Anguillula aceti glutinis	Ehrenb
3	d2e1442Meyers-1905	Aaltierchen	Anguillula aceti glutinis	Ehrenb
4	d2e1442Meyers-1905	Aaltierchen	Tylenchus scandens	Schn
5	d2e1442Meyers-1905	Aaltierchen	T. devastatrix	
6	d2e1442Meyers-1905	Aaltierchen	T. Hafensteini	
7	d2e1442Meyers-1905	Aaltierchen	Heterodera Schachtii	A. Schmidt
8	d2e2082Meyers-1905	Aaskäfer	Silpha atrata	
9	d2e2082Meyers-1905	Aaskäfer	Silphidae opaca	L
10	d2e2082Meyers-1905	Aaskäfer	Necrophorus vespillo	L
11	d2e5536Meyers-1905	Abēlia	Linnaea	Gronov
12	d2e9136Meyers-1905	Abĭes	Pinus	L
13	d2e12335Meyers-1905	Abrōma	Abrōma angustum	
14	d2e12436Meyers-1905	Abrus	Abrus precatorius	L
15	d2e16833Meyers-1905	Abutĭlon	Abutĭlon Avicennae	Gärtn
16	d2e16833Meyers-1905	Abutĭlon	Abutĭlon esculentum	St. Hil
17	d2e16833Meyers-1905	Abutĭlon	Abutĭlon indicum	G. Don
18	d2e16833Meyers-1905	Abutĭlon	Abutĭlon insigne	Planch
19	d2e17882Meyers-1905	Acācia	pycnantha	Benth
20	d2e17882Meyers-1905	Acācia	Acācia melanoxylon	B. Br
21	d2e17882Meyers-1905	Acācia	Acācia excelsa	Benth
22	d2e17882Meyers-1905	Acācia	Acācia decurrens	Willd
23	d2e17882Meyers-1905	Acācia	Acācia penninervis	Sieber
24	d2e17882Meyers-1905	Acācia	Acācia dealbata	
25	d2e17882Meyers-1905	Acācia	Acācia floribunda	Willd
26	d2e17882Meyers-1905	Acācia	Acācia arabica	Willd
27	d2e17882Meyers-1905	Acācia	Acācia nilotica	Del
28	d2e17882Meyers-1905	Acācia	Acācia vera	
29	d2e17882Meyers-1905	Acācia	Acācia horrida	Willd
30	d2e17882Meyers-1905	Acācia	Acācia Seyal	Det
31	d2e17882Meyers-1905	Acācia	Acācia fistula	Schweinf
34	d2e17882Meyers-1905	Acācia	Acācia stenocarpa	Hochst
35	d2e17882Meyers-1905	Acācia	Acācia Senegal	Willd
38	d2e17882Meyers-1905	Acācia	Acācia anthelmintica	Baill
39	d2e17882Meyers-1905	Acācia	Acācia Catechu	Willd
40	d2e18378Meyers-1905	Acanthus	Acanthus mollis	L
41	d2e18378Meyers-1905	Acanthus	Acacia vera spinosus	L
42	d2e18378Meyers-1905	Acanthus	Acanthus ilicifolius	L
43	d2e20642Meyers-1905	Achatschnecke	Achatina mauritiana	Lam
44	d2e20642Meyers-1905	Achatschnecke	Achatina perdix	Lam
45	d2e20642Meyers-1905	Achatschnecke	Achatina zebra	Lam
46	d2e20642Meyers-1905	Achatschnecke	Achatina lubrica	Brug
47	d2e21107Meyers-1905	Achillēa [1]	Achillēa Ptarmica	L
48	d2e21107Meyers-1905	Achillēa [1]	Achillēa nana	L
49	d2e21107Meyers-1905	Achillēa [1]	Achillēa moschata	
50	d2e21426Meyers-1905	Achimĕnes	Achimĕnes grandiflora	
53	d2e21426Meyers-1905	Achimĕnes	Scheeria mexicana	Seem
54	d2e21426Meyers-1905	Achimĕnes	Achimĕnes amabilis	DC
55	d2e21541Meyers-1905	Achlya	Achlya prolifera	Nees v. Es
58	d2e21577Meyers-1905	Aechmēa	Aechmēa spectabilis	Brongn
59	d2e21577Meyers-1905	Aechmēa	Aechmēa distichantha	Lem
60	d2e21577Meyers-1905	Aechmēa	Aechmēa rhodocyanea	Hook
61	d2e24272Meyers-1905	Ackerschnecke	Limax	L
62	d2e24272Meyers-1905	Ackerschnecke	L maximus	L
63	d2e24677Meyers-1905	Aconītum	Aconītum Napellus	L
64	d2e24677Meyers-1905	Aconītum	Aconītum ferox	Wallich
65	d2e24677Meyers-1905	Aconītum	Aconītum heterophyllum	Wallich
66	d2e24677Meyers-1905	Aconītum	Aconītum variegatum	L
67	d2e24677Meyers-1905	Aconītum	Aconītum Stoerkeanum	Rchb
68	d2e24677Meyers-1905	Aconītum	Aconītum Lycoctonum	L
69	d2e24677Meyers-1905	Aconītum	Aconītum Anthora	L
70	d2e24822Meyers-1905	Acŏrus	Acŏrus Calamus	L
71	d2e24822Meyers-1905	Acŏrus	Acŏrus gramineus	
72	d2e25246Meyers-1905	Acrocōmia	Acrocōmia sclerocarpa	Mart
73	d2e25319Meyers-1905	Acróstichum	Acróstichum barbatum	Karst
74	d2e25437Meyers-1905	Actaea	Actaea spicata	L
75	d2e25437Meyers-1905	Actaea	Actaea racemosa	L
76	d2e27054Meyers-1905	Adamsapfel	Citrus Pomum Adami	
77	d2e27320Meyers-1905	Adansonĭa	Adansonĭa digitata	L
78	d2e27320Meyers-1905	Adansonĭa	B. Gregorii	Fr. Müll
79	d2e27928Meyers-1905	Addison	Standard	Library
80	d2e29497Meyers-1905	Adenanthera	Adenanthera pavonina	L
85	d2e29652Meyers-1905	Adenĭum	Adenĭum Boehmianum	Schinz
86	d2e29761Meyers-1905	Adenóphora	Adenóphora liliifolia	Ledeb
87	d2e30640Meyers-1905	Adiantum	Adiantum Capillus Veneris	L
90	d2e31550Meyers-1905	Adler [1]	Aquila chrysaëtus	L
91	d2e31550Meyers-1905	Adler [1]	Adler melanaëtus	L
92	d2e31550Meyers-1905	Adler [1]	Adler pomarina	
93	d2e31550Meyers-1905	Adler [1]	Adler orientalis	Cab
94	d2e31550Meyers-1905	Adler [1]	Hieraaetus pennatus	Gm
95	d2e31550Meyers-1905	Adler [1]	Adler pennuta	
96	d2e31550Meyers-1905	Adler [1]	Adler audax	
97	d2e31550Meyers-1905	Adler [1]	Adler fasciata	Vieill
98	d2e31550Meyers-1905	Adler [1]	Spizaëtos occipitalis	
99	d2e31550Meyers-1905	Adler [1]	S. bellicosus	Levaill
100	d2e31550Meyers-1905	Adler [1]	Harpyia destructor	L
101	d2e31550Meyers-1905	Adler [1]	Haliaëtus vocifer	
102	d2e31550Meyers-1905	Adler [1]	H. albicilla	L
103	d2e31550Meyers-1905	Adler [1]	H. leucocephalus	L
104	d2e31550Meyers-1905	Adler [1]	Pandion haliaëtus	L
105	d2e33445Meyers-1905	Adōnis [1]	Adōnis autumnalis	L
106	d2e33445Meyers-1905	Adōnis [1]	Adōnis aestivalis	L
107	d2e33445Meyers-1905	Adōnis [1]	Adōnis vernalis	L
108	d2e35557Meyers-1905	Aërĭdes	Aërĭdes odoratum	Lour
109	d2e37907Meyers-1905	Afrika	Pennisetum spicatum	Ecke
110	d2e40919Meyers-1905	Afterfrühlingsfliegen	Perla	Geoffr
111	d2e41750Meyers-1905	Agamen	Agama	
112	d2e41750Meyers-1905	Agamen	Agamidae colonorum	
113	d2e41897Meyers-1905	Agapanthus	Agapanthus umbellatus	L'Herit
115	d2e41967Meyers-1905	Agar-Agar	Eucheuma spinosum	Ag
116	d2e41967Meyers-1905	Agar-Agar	Gelidium corneum	Lamx
117	d2e41967Meyers-1905	Agar-Agar	Gelidium cartilagineum	
118	d2e42082Meyers-1905	Agaricus	Hypholoma	Fr
119	d2e42082Meyers-1905	Agaricus	Agaricus fascicularis	Huds
120	d2e42082Meyers-1905	Agaricus	Agaricus campestris	L
121	d2e42082Meyers-1905	Agaricus	Agaricus pratensis	Schäff
122	d2e42082Meyers-1905	Agaricus	Agaricus arvensis	Schäff
123	d2e42082Meyers-1905	Agaricus	Agaricus silvaticus	
124	d2e42082Meyers-1905	Agaricus	Agaricus mutabilis	Schäff
125	d2e42082Meyers-1905	Agaricus	Agaricus adiposus	Batsch
126	d2e42082Meyers-1905	Agaricus	Agaricus prunulus	Scop
127	d2e42082Meyers-1905	Agaricus	Agaricus ostreatus	Jacq
128	d2e42082Meyers-1905	Agaricus	Agaricus esculentus	Wulf
129	d2e42082Meyers-1905	Agaricus	Agaricus graveolens	Pers
130	d2e42082Meyers-1905	Agaricus	Agaricus Pomonae	Lenz
131	d2e42082Meyers-1905	Agaricus	Armillaria melleus	L
132	d2e42082Meyers-1905	Agaricus	Agaricus procerus	Scop
133	d2e42082Meyers-1905	Agaricus	Amanita rubescens	Fr
134	d2e42082Meyers-1905	Agaricus	Agaricus muscarius	L
135	d2e42082Meyers-1905	Agaricus	Agaricus pantherinus	DC
136	d2e42082Meyers-1905	Agaricus	Agaricus phalloides	Fr
137	d2e42082Meyers-1905	Agaricus	Agaricus caesareus	Scop
138	d2e42687Meyers-1905	Agathis	Agathis ovata	
139	d2e42687Meyers-1905	Agathis	Agathis Dammara	Rich
140	d2e42687Meyers-1905	Agathis	D. robusta	
141	d2e42951Meyers-1905	Agave	Agave americana	L
142	d2e42951Meyers-1905	Agave	Agave rigida	Mill
143	d2e42951Meyers-1905	Agave	Agave heteracantha	Zucc
144	d2e42951Meyers-1905	Agave	Agave vivipara	L
145	d2e43610Meyers-1905	Agerātum	Agerātum conyzoides	L
146	d2e43610Meyers-1905	Agerātum	Agerātum mexicanum	Sims
147	d2e45130Meyers-1905	Aegle	Aegle Marmelos	Correa
148	d2e45870Meyers-1905	Aegopōdium	Aegopōdium Podagraria	
149	d2e47088Meyers-1905	Agrimonĭa	Agrimonĭa Eupatoria	L
150	d2e47088Meyers-1905	Agrimonĭa	Agrimonĭa officinalis	Lam
151	d2e47366Meyers-1905	Agropȳrum	Agropȳrum repens	Beauv
152	d2e47366Meyers-1905	Agropȳrum	Triticum repens	L
153	d2e47366Meyers-1905	Agropȳrum	Agropȳrum junceum	Beauv
154	d2e47414Meyers-1905	Agrostemma	Agrostemma Githago	L
155	d2e47458Meyers-1905	Agrostis	With	
156	d2e47458Meyers-1905	Agrostis	Agrostis alba	Schrad
157	d2e47458Meyers-1905	Agrostis	Agrostis alba	L
158	d2e47458Meyers-1905	Agrostis	Aira caespitosa spica venti	L
161	d2e48044Meyers-1905	Aguti	Dasyprocta Aguti	L
162	d2e48146Meyers-1905	Ägypten	Archaeological Survey of	Egypt
163	d2e50863Meyers-1905	Ahorn	Acer tataricum	L
164	d2e50863Meyers-1905	Ahorn	Acer pseudoplatanus	L
165	d2e50863Meyers-1905	Ahorn	Acer platanoides	L
166	d2e50863Meyers-1905	Ahorn	Acer saccharinum	Wangenh
167	d2e50863Meyers-1905	Ahorn	Acer campestre	L
168	d2e50863Meyers-1905	Ahorn	Acer Monspessulanum	L
169	d2e50863Meyers-1905	Ahorn	Acer dasycarpum	Ehrh
170	d2e50863Meyers-1905	Ahorn	Acer rubrum	L
171	d2e50863Meyers-1905	Ahorn	Acer Negundo	L
172	d2e50863Meyers-1905	Ahorn	Acer californicum	
173	d2e52182Meyers-1905	Aiguillon [2]	Le duc d'A. et La	Chalotais
174	d2e52961Meyers-1905	Aira	Aira caespitosa	L
175	d2e52961Meyers-1905	Aira	Aira canescens	L
176	d2e52961Meyers-1905	Aira	Aira pulchella	L
177	d2e52961Meyers-1905	Aira	Aira elegans	Gaud
178	d2e52961Meyers-1905	Aira	Aira caryophyllea	L
179	d2e62359Meyers-1905	Aland [1]	melanotus	Heck
180	d2e64775Meyers-1905	Albătros	Diomedea exulans	L
182	d2e66711Meyers-1905	Albizzia	Albizzia lophanta	Benth
183	d2e66711Meyers-1905	Albizzia	Acacia lophanta	Willd
184	d2e66711Meyers-1905	Albizzia	A.Lebbek	Benth
185	d2e66711Meyers-1905	Albizzia	Acacia Lebbek	Willd
186	d2e66711Meyers-1905	Albizzia	Albizzia Saman	Fr. r. M
187	d2e66711Meyers-1905	Albizzia	Albizzia Julibrissin	Boiv
188	d2e68710Meyers-1905	Alchemilla	Alchemilla vulgaris	L
189	d2e68710Meyers-1905	Alchemilla	Alchemilla alpina	L
190	d2e71345Meyers-1905	Aleurītes	Aleurītes moluccana	Willd
191	d2e71345Meyers-1905	Aleurītes	Aleurītes triloba	Forst
192	d2e71345Meyers-1905	Aleurītes	Aleurītes cordata	Müll. — Arg
193	d2e73971Meyers-1905	Alfons	Ordenações	
194	d2e76424Meyers-1905	Alhagi	Alhagi Maurorum	Med
195	d2e76424Meyers-1905	Alhagi	Alhagi Camelorum	Fisch
196	d2e78002Meyers-1905	Alk	Alcidae torda	L
197	d2e78002Meyers-1905	Alk	Alca impennis	L
198	d2e78473Meyers-1905	Alkanna	Alkanna tinctoria	Tausch
199	d2e79997Meyers-1905	Allanblackĭa	Allanblackĭa Stuhlmannii	Engl
200	d2e82100Meyers-1905	Alligatoren	Alligator lucius	Cuv
201	d2e82100Meyers-1905	Alligatoren	Jacare latirostris	
202	d2e82100Meyers-1905	Alligatoren	J. sclerops	
203	d2e82100Meyers-1905	Alligatoren	J. nigra	
204	d2e82379Meyers-1905	Allĭum	Allĭum neapolitanum	Cyr
205	d2e85105Meyers-1905	Alocasĭa	Alocasĭa macrorhiza	Schott
206	d2e85105Meyers-1905	Alocasĭa	Alocasĭa odora	
207	d2e85105Meyers-1905	Alocasĭa	Alocasĭa indica	Schott
208	d2e85105Meyers-1905	Alocasĭa	Alocasĭa cuprea	C. Koch
209	d2e85153Meyers-1905	Aloë [1]	Aloë vera	L
210	d2e85153Meyers-1905	Aloë [1]	Aloë socotrina	Lam
211	d2e85153Meyers-1905	Aloë [1]	Aloë vulgaris	L
212	d2e85153Meyers-1905	Aloë [1]	Aloë perfoliata	Thunb
213	d2e85153Meyers-1905	Aloë [1]	Aloë angustifolia	L
214	d2e85295Meyers-1905	Aloehanf	Aloe perfoliata	Thunb
215	d2e85321Meyers-1905	Aloeholz	Aquilaria Agallocha	
216	d2e85667Meyers-1905	Alopecūrus	Alopecūrus pratensis	L
217	d2e87160Meyers-1905	Alpendohle	P. graculus	Cuv
218	d2e88683Meyers-1905	Alpinĭa	Alpinĭa Galanga	Willd
219	d2e88683Meyers-1905	Alpinĭa	Alpinĭa officinarum	Hance
220	d2e88683Meyers-1905	Alpinĭa	Alpinĭa nutans	Rosc
221	d2e89005Meyers-1905	Alse	Alosa vulgaris	Cuv
222	d2e89005Meyers-1905	Alse	Alosa sapidissima	Wils
223	d2e89005Meyers-1905	Alse	Alosa toli	Cuv
224	d2e89005Meyers-1905	Alse	Alosa Finta	Cuv
225	d2e89374Meyers-1905	Alstonĭa	Alstonĭa constricta	F. Müll
226	d2e89487Meyers-1905	Alstroemerĭa	Alstroemerĭa aurantiaca	D. Don
229	d2e92572Meyers-1905	Althaea	Althaea officinalis	L
230	d2e92572Meyers-1905	Althaea	Althaea rosea	Car
231	d2e92572Meyers-1905	Althaea	Alcea rosea	L
232	d2e93015Meyers-1905	Altingĭa	Altingĭa chinensis	Hook fil
233	d2e96088Meyers-1905	Alyssum	Alyssum argenteum	Willd
234	d2e96088Meyers-1905	Alyssum	Alyssum saxatile	L
235	d2e96377Meyers-1905	Amadīnen	Spermestes cucullata	Swsn
236	d2e96377Meyers-1905	Amadīnen	Swsn striata	L
237	d2e96377Meyers-1905	Amadīnen	S. fasciata	Gml
238	d2e97424Meyers-1905	Amarantus	Amarantus caudatus	L
239	d2e97424Meyers-1905	Amarantus	Amarantus speciosus	Sims
240	d2e97424Meyers-1905	Amarantus	Amarantus tricolor	L
241	d2e97424Meyers-1905	Amarantus	Amarantus Blitum	L
242	d2e97424Meyers-1905	Amarantus	Euxolus viridis	Moq
243	d2e97424Meyers-1905	Amarantus	Amarantus prostratus	Balbis
244	d2e97424Meyers-1905	Amarantus	E. deflexus	Rafin
245	d2e97424Meyers-1905	Amarantus	Amarantus silvestris	Desf
246	d2e97424Meyers-1905	Amarantus	Amarantus frumentaceus	Buchan
247	d2e97424Meyers-1905	Amarantus	Amarantus oleraceus	L
248	d2e97424Meyers-1905	Amarantus	E. oleraceus	Moq
249	d2e97814Meyers-1905	Amaryllis [1]	Amaryllis Belladonna	L
250	d2e100304Meyers-1905	Ameisen	Anomma arcens	West
251	d2e100304Meyers-1905	Ameisen	Anomma arcens	Westw
252	d2e100304Meyers-1905	Ameisen	Camponotus herculaneus	L
253	d2e100304Meyers-1905	Ameisen	Lasius niger	Latr
254	d2e100304Meyers-1905	Ameisen	Myrmecocystus hortus deorum	Wesm
255	d2e100304Meyers-1905	Ameisen	Atta cephalotes	L
256	d2e100697Meyers-1905	Ameisenfresser	Myrmecophaga jubata	L
257	d2e100697Meyers-1905	Ameisenfresser	Myrmecophaga tetradactyla	L
258	d2e100822Meyers-1905	Ameisenigel	Echidna aculeata	Cuv
259	d2e100895Meyers-1905	Ameisenlöwe	Myrmecoleon formicarius	L
260	d2e101142Meyers-1905	Ameisenvögel	Formicivora domicella	
261	d2e101210Meyers-1905	Amelanchĭer	Amelanchĭer vulgaris	Mönch
262	d2e101210Meyers-1905	Amelanchĭer	Aronia rotundifolia	Pers
263	d2e101210Meyers-1905	Amelanchĭer	Amelanchĭer canadensis	Torr
265	d2e104202Meyers-1905	Amĭen	Amia calva	L
266	d2e104959Meyers-1905	Ammern [2]	Emberiza	L
267	d2e104959Meyers-1905	Ammern [2]	Emberiza citrinella	L
268	d2e104959Meyers-1905	Ammern [2]	Emberizinae cia	L
269	d2e104959Meyers-1905	Ammern [2]	Emberizinae schoeniclus	L
270	d2e104959Meyers-1905	Ammern [2]	Emberizinae calandra	L
271	d2e104959Meyers-1905	Ammern [2]	Emberizinae hortulana	L
272	d2e104959Meyers-1905	Ammern [2]	Emberizinae melanocephala	Scop
273	d2e105161Meyers-1905	Ammi	Ammi majus	L
274	d2e105161Meyers-1905	Ammi	Ammi visnaga	Link
275	d2e105211Meyers-1905	Ammobĭum	Ammobĭum alatum	H. Br
276	d2e106939Meyers-1905	Amōmum	Amōmum Melegueta	Rosc
277	d2e106939Meyers-1905	Amōmum	Amōmum Cardamomum	L
278	d2e106939Meyers-1905	Amōmum	Amōmum maximum	Roxb
279	d2e107203Meyers-1905	Amorpha	Amorpha fruticosa	L
280	d2e107203Meyers-1905	Amorpha	Amorpha canescens	Nutt
281	d2e107253Meyers-1905	Amorphophallus	Amorphophallus campanulatus	Blume
282	d2e107253Meyers-1905	Amorphophallus	Amorphophallus titanum	Becc
283	d2e107253Meyers-1905	Amorphophallus	Conophallus Titanum	Becc
284	d2e107649Meyers-1905	Ampelodesmos	Ampelodesmos tenax	L
285	d2e108870Meyers-1905	Amphióxus lanceolātus	Branchiostoma lubricum	Costa
286	d2e112181Meyers-1905	Amўris	Amўris balsamifera	L
287	d2e112181Meyers-1905	Amўris	Amўris silvatica	Jacq
288	d2e112435Meyers-1905	Anabăsis [2]	Anabăsis tamariscifolia	L
289	d2e112556Meyers-1905	Anacardĭum	Anacardĭum occidentale	L
290	d2e112751Meyers-1905	Anacyclus	officinarum	
291	d2e112751Meyers-1905	Anacyclus	Anacyclus Pyrethrum	DC
292	d2e112981Meyers-1905	Anagallis	Anagallis arvensis	L
295	d2e114972Meyers-1905	Anănas	Adans sativus	Lindl
296	d2e115116Meyers-1905	Ananaskrankheit	Tylenchus devastatrix	Kühne
299	d2e117427Meyers-1905	Anchusa	Anchusa italica	Retz
300	d2e117427Meyers-1905	Anchusa	Anchusa sempervirens	L
301	d2e117505Meyers-1905	Anchylostŏmum duodenāle	Dochmius duodenalis	Leuck
302	d2e119199Meyers-1905	Andīra	Andīra Araroba	Aguiar
303	d2e119199Meyers-1905	Andīra	Aguiar inermis	H. B. K
304	d2e120695Meyers-1905	Andromĕda [1]	Andromĕda polifolia	L
305	d2e120695Meyers-1905	Andromĕda [1]	Andromĕda floribunda	Pursh
306	d2e120695Meyers-1905	Andromĕda [1]	Andromĕda japonica	Thunb
307	d2e120958Meyers-1905	Andropōgon	Andropōgon Ischaemum	L
308	d2e120958Meyers-1905	Andropōgon	Andropōgon squarrosus	L. pl
309	d2e120958Meyers-1905	Andropōgon	Andropōgon muricatus	Retz
310	d2e120958Meyers-1905	Andropōgon	Andropōgon citratus	DC
311	d2e120958Meyers-1905	Andropōgon	Andropōgon formosus	hort
312	d2e121109Meyers-1905	Androsāce	Androsāce sarmentosa	Wall
313	d2e121109Meyers-1905	Androsāce	Androsāce lanuginosa	
314	d2e121688Meyers-1905	Anemōne	Anemōne coronaria	L
315	d2e121688Meyers-1905	Anemōne	Anemōne japonica	Sieb
316	d2e121688Meyers-1905	Anemōne	Anemōne fulgens	Gay
317	d2e121688Meyers-1905	Anemōne	Anemōne nemorosa	
318	d2e122266Meyers-1905	Anēthum	Anēthum graveolens	L
319	d2e122266Meyers-1905	Anēthum	Anēthum sowa	Roxb
320	d2e123376Meyers-1905	Angelĭca	Archangelica officinalis	Hoffm
321	d2e124802Meyers-1905	Angioptĕris	Angioptĕris evecta	Hoffm
322	d2e124917Meyers-1905	Ang-Khat	Monascus purpureus	Went
323	d2e126056Meyers-1905	Angrēcum	Angrēcum fragrans	Thouars
325	d2e132631Meyers-1905	Anolis	Anolis principalis	L
326	d2e132918Meyers-1905	Anōna	Adans squamosa	L
327	d2e132918Meyers-1905	Anōna	Adans muricata	L
328	d2e134742Meyers-1905	Anschōvis	Engraulis encrasicholus	L
329	d2e136789Meyers-1905	Antennaria	Antennaria dioica	Gärtn
330	d2e136789Meyers-1905	Antennaria	Gnaphalium dioicum	L
331	d2e137129Meyers-1905	Anthēmĭs	Anthēmĭs arvensis	L
332	d2e137227Meyers-1905	Antherĭcum	Antherĭcum Liliago	L
333	d2e137227Meyers-1905	Antherĭcum	Antherĭcum ramosum	L
334	d2e137721Meyers-1905	Anthoxanthum	Anthoxanthum odoratum	L
335	d2e138263Meyers-1905	Anthriscus	Anthriscus silvestris	Hoffm
336	d2e138914Meyers-1905	Anthūrium	Anthūrium leucon euron	Lem
337	d2e138914Meyers-1905	Anthūrium	Anthūrium magnificum	
338	d2e138914Meyers-1905	Anthūrium	André	, 
339	d2e138914Meyers-1905	Anthūrium	André Andreanum	Linden
340	d2e138914Meyers-1905	Anthūrium	Anthūrium pedato-radiatum	
341	d2e138914Meyers-1905	Anthūrium	Anthūrium Scherzerianum	
342	d2e139000Meyers-1905	Anthyllis	Anthyllis vulneraria	L
343	d2e139082Meyers-1905	Antiāris	Antiāris toxicaria	Lesch
344	d2e139082Meyers-1905	Antiāris	Antiāris zeylonica	Seem
345	d2e140361Meyers-1905	Antilopen	Antilope Cervicapra	Pall
346	d2e140361Meyers-1905	Antilopen	Antilope dorcas	Licht
347	d2e140361Meyers-1905	Antilopen	Antidorcas Euphore	Forster
348	d2e140361Meyers-1905	Antilopen	Bubalis pygarga	Sund
349	d2e140361Meyers-1905	Antilopen	B. albifrons	Sund
350	d2e140361Meyers-1905	Antilopen	B. senegalensis	
351	d2e140361Meyers-1905	Antilopen	B. bubalis	Pall
352	d2e140361Meyers-1905	Antilopen	Bubalis Caama	Sund
353	d2e140361Meyers-1905	Antilopen	Saiga Saiga	Wagn
354	d2e140361Meyers-1905	Antilopen	Redunca eleotragus	
355	d2e140361Meyers-1905	Antilopen	Kobus ellipsiprymnus	Sund
356	d2e140361Meyers-1905	Antilopen	Hippotragus leucophaeus	Sund
357	d2e140361Meyers-1905	Antilopen	Oryx leucoryx	Rüpp
358	d2e140361Meyers-1905	Antilopen	O. Beïsa	Rüpp
359	d2e140361Meyers-1905	Antilopen	O. capensis	Sund
360	d2e140361Meyers-1905	Antilopen	Addax nasomaculatus	
361	d2e140361Meyers-1905	Antilopen	Strepsiceros Kudu	
362	d2e140361Meyers-1905	Antilopen	Buselaphus oreas	
363	d2e140361Meyers-1905	Antilopen	Portax pictus	Wagn
364	d2e140361Meyers-1905	Antilopen	Oreotragus saltatrix	Sund
365	d2e140361Meyers-1905	Antilopen	Nemorhoedus Goral	Wagn
366	d2e140361Meyers-1905	Antilopen	Catoblepas Gnu	Sund
367	d2e140361Meyers-1905	Antilopen	C. taurinus	Sünd
368	d2e140361Meyers-1905	Antilopen	Antilocapra americana	Sund
369	d2e143288Meyers-1905	Antirrhīnum	Antirrhīnum latifolium	DC
370	d2e143288Meyers-1905	Antirrhīnum	Antirrhīnum Orontium	L
371	d2e147990Meyers-1905	Apfelbaum	Pirus	Tourn
372	d2e147990Meyers-1905	Apfelbaum	P. pumila	Mill
373	d2e147990Meyers-1905	Apfelbaum	P. silvestris	Mill
374	d2e147990Meyers-1905	Apfelbaum	P. dasyphylla	Borkh
375	d2e147990Meyers-1905	Apfelbaum	P. prunifolia	Willd
376	d2e147990Meyers-1905	Apfelbaum	P. Malus	L
377	d2e148750Meyers-1905	Aphelandra	Aphelandra nitens	
378	d2e148750Meyers-1905	Aphelandra	Aphelandra sulphurea	Hook
379	d2e149497Meyers-1905	Apiocrīnus	Apiocrīnus Roissyanus	
380	d2e149578Meyers-1905	Apĭos	Apĭos tuberosa	
381	d2e149578Meyers-1905	Apĭos	Glycine apios	
382	d2e150086Meyers-1905	Apocўnum	Apocўnum androsaemifolium	L
383	d2e150086Meyers-1905	Apocўnum	Apocўnum cannabinum	L
384	d2e150086Meyers-1905	Apocўnum	Apocўnum venetum	L
385	d2e151428Meyers-1905	Aponogĕton	Aponogĕton distachyus	
386	d2e151428Meyers-1905	Aponogĕton	Aponogĕton fenestralis	Hookfil
387	d2e151428Meyers-1905	Aponogĕton	Ouvirandra fen.	Pers
388	d2e157114Meyers-1905	Aquilarĭa	Aquilarĭa malaccensis	Lam
389	d2e157114Meyers-1905	Aquilarĭa	Aquilarĭa Agallocha	Roxb
390	d2e157176Meyers-1905	Aquilegĭa	Aquilegĭa canadensis	L
391	d2e157176Meyers-1905	Aquilegĭa	Aquilegĭa chrysantha	Hook
392	d2e157176Meyers-1905	Aquilegĭa	Aquilegĭa Skinneri	Hook
393	d2e158791Meyers-1905	Arăbis	Arăbis albida	Slev
394	d2e158791Meyers-1905	Arăbis	Arăbis alpina	L
395	d2e159716Meyers-1905	Arăchis	Arăchis hypogaea	L
398	d2e160483Meyers-1905	Aralĭa	Aralĭa nudicaulis	L
399	d2e160550Meyers-1905	Aralĭazeen	Panax Ginseng	
400	d2e161482Meyers-1905	Araucarĭa	Araucarĭa brasiliensis	Rich
401	d2e161482Meyers-1905	Araucarĭa	Araucarĭa imbricata	Pav
402	d2e161482Meyers-1905	Araucarĭa	Araucarĭa Bidwilli	Hook
403	d2e161482Meyers-1905	Araucarĭa	Araucarĭa Cunninghami	Ait
404	d2e164984Meyers-1905	Arbūtus	Arbūtus Andrachne	L
405	d2e165368Meyers-1905	Archangelĭca	Angelica officinalis	Hoffm
406	d2e166329Meyers-1905	Archidĭazeen	Archidium phascoides	Brid
408	d2e169457Meyers-1905	Arctĭum	Lappa	Juss
409	d2e169457Meyers-1905	Arctĭum	Arctĭum tomentosum	
410	d2e169457Meyers-1905	Arctĭum	Arctĭum Lappa	L
411	d2e169457Meyers-1905	Arctĭum	Arctĭum minus	
412	d2e169457Meyers-1905	Arctĭum	Lappa glabra	Lam
413	d2e169457Meyers-1905	Arctĭum	Lappa edulis	Sieb
414	d2e169613Meyers-1905	Arctostaphўlos	Adans uva ursi	Spr
415	d2e169613Meyers-1905	Arctostaphўlos	Arbutus uva ursi	L
416	d2e169649Meyers-1905	Arctōtis	Arctōtis acaulis	L
417	d2e170252Meyers-1905	Ardisĭa	Ardisĭa crenata	Roxb
418	d2e170571Meyers-1905	Arēca	Arēca Catechu	Willd
419	d2e171171Meyers-1905	Arenga	Arenga saccharifera	Labill
420	d2e172200Meyers-1905	Argemōne	Argemōne mexicana	L
421	d2e172200Meyers-1905	Argemōne	Argemōne grandiflora	Sw
422	d2e175389Meyers-1905	Arĭocarpus	Anhalonium	Lem
