	EntryID	Headword	Origin language	Lemma synonym
14363	d2e875907Meyers-1905	Durchsuchungsrecht	franz	Droit de visite
14363	d2e875907Meyers-1905	Durchsuchungsrecht	engl	Right of visit
14380	d2e877414Meyers-1905	Durst	lat	Sitis
14386	d2e877704Meyers-1905	Dusche	franz	douche
14453	d2e880920Meyers-1905	Dysmenorrhöe	griech	Colica uteri menstrualis
14472	d2e881298Meyers-1905	Dyvĕke	lat	Columbŭla
14522	d2e882659Meyers-1905	Eau forte	lat	Aqua fortis
14532	d2e883325Meyers-1905	Ebene [1]	griech	epípedon
14532	d2e883325Meyers-1905	Ebene [1]	lat	planum
14535	d2e883558Meyers-1905	Ebenholz	griech	ebenos
14535	d2e883558Meyers-1905	Ebenholz	hebr	eben
14537	d2e883861Meyers-1905	Eber [1]	althochd	ebur
14550	d2e885096Meyers-1905	Ebro	lat	Ibērus
14633	d2e889866Meyers-1905	Edel	althochd	edili
14645	d2e891244Meyers-1905	Edgar	angelsächs	Êadgâr
14645	d2e891244Meyers-1905	Edgar	althochd	Ôtkêr
14665	d2e892266Meyers-1905	Edler Rost	lat	Aerugo nobilis
14667	d2e892322Meyers-1905	Edmund	angels	Eádmund
14673	d2e892526Meyers-1905	Eduard [1]	engl	Edward
14673	d2e892526Meyers-1905	Eduard [1]	angelsächs	Eádwëard
14678	d2e892780Meyers-1905	E dur	ital	Mi maggiore
14678	d2e892780Meyers-1905	E dur	franz	Mi majeur
14678	d2e892780Meyers-1905	E dur	engl	E major
14683	d2e893259Meyers-1905	Efendi	neugriech	authentis
14684	d2e893306Meyers-1905	Efeu	althochd	ebah ebowe ephou
14686	d2e893349Meyers-1905	Effékt	lat	effectus
14688	d2e893408Meyers-1905	Effekten	franz	effets
14702	d2e893866Meyers-1905	Effractura	lat	E cranii
14711	d2e894077Meyers-1905	Egāl	lat	aequālis
14721	d2e895305Meyers-1905	Egg flip	engl	Spiced ale
14745	d2e896343Meyers-1905	Ehe	althochd	êwa
14753	d2e898484Meyers-1905	Ehrendame	franz	Dame d honneur
14761	d2e900786Meyers-1905	Eichelentzündung	griech	Balanitis
14762	d2e900929Meyers-1905	Eichen [1]	lat	Ovulum
14784	d2e903569Meyers-1905	Eierschalenporzellan	engl	Egg shells
14790	d2e904206Meyers-1905	Eigelstein	lat	aquila
14790	d2e904206Meyers-1905	Eigelstein	franz	aigle
14795	d2e904978Meyers-1905	Eigentum ist Diebstahl	franz	La propriété c
14813	d2e907446Meyers-1905	Eingeweide	lat	Intestina Viscera
14818	d2e908036Meyers-1905	Einhērĭer	altnord	einherjar
14830	d2e908676Meyers-1905	Einklang	lat	Unisonus
14841	d2e909713Meyers-1905	Einpeitscher	engl	Whip
14842	d2e909792Meyers-1905	Einrede	lat	Exceptio
14844	d2e909890Meyers-1905	Einrenkung	lat	Repositio
14850	d2e910610Meyers-1905	Einschreiben	franz	chargé
14850	d2e910610Meyers-1905	Einschreiben	engl	registered
14862	d2e911548Meyers-1905	Einsteuer	franz	Impôt unique
14877	d2e913040Meyers-1905	Eïs	engl	Esharp
14886	d2e915226Meyers-1905	Eisenbahn	engl	Railway Railroad
14886	d2e915226Meyers-1905	Eisenbahn	franz	Chemin de fer
14892	d2e917353Meyers-1905	Eisenbahn-Clearinghaus	engl	Railway Clearing House
14968	d2e928482Meyers-1905	Ekarté	franz	Écarté
14980	d2e928999Meyers-1905	Ekklesiástes	lat	Concionator
14985	d2e929096Meyers-1905	Eklat	franz	éclat
14987	d2e929146Meyers-1905	Eklipse	lat	Defectus
15019	d2e930716Meyers-1905	Elastizität	griech	elaúnein
15038	d2e932378Meyers-1905	Eldorado [1]	span	el dorado sc
15039	d2e932461Meyers-1905	Elĕa	lat	Velia
15097	d2e944743Meyers-1905	Elen	lit	élnis
15097	d2e944743Meyers-1905	Elen	althochd	ëlaho
15099	d2e944893Meyers-1905	Elend [2]	mittelhochd	ellende
15114	d2e945642Meyers-1905	Elfen	altnord	álfar
15114	d2e945642Meyers-1905	Elfen	angels	ylfe
15114	d2e945642Meyers-1905	Elfen	engl	elves
15114	d2e945642Meyers-1905	Elfen	schwed	alfer
15114	d2e945642Meyers-1905	Elfen	dän	elver
15114	d2e945642Meyers-1905	Elfen	mittelhochd	elbi elbe
15115	d2e945697Meyers-1905	Elfenbein	lat	Ebur
15136	d2e947967Meyers-1905	Elixier	arab	el iksîr
15139	d2e948392Meyers-1905	Elle [2]	schwed	Aln
15139	d2e948392Meyers-1905	Elle [2]	dän	Alen
15139	d2e948392Meyers-1905	Elle [2]	holl	El
15139	d2e948392Meyers-1905	Elle [2]	engl	Ell
15199	d2e952663Meyers-1905	Elze [1]	lat	Aulica
15200	d2e952713Meyers-1905	Elzevir	lat	Elzevirius
15243	d2e954814Meyers-1905	Emenda	franz	Amende
15245	d2e954870Meyers-1905	Emerald	franz	Émeraude
15256	d2e955265Meyers-1905	Emigranten	franz	Émigrés
15280	d2e956370Meyers-1905	E moll	ital	Mi minore
15280	d2e956370Meyers-1905	E moll	franz	Mi mineur
15280	d2e956370Meyers-1905	E moll	engl	E minor
15301	d2e957311Meyers-1905	Emphyteusis	griech	emphyteuein
15374	d2e960064Meyers-1905	Endlich	lat	finītum
15421	d2e962641Meyers-1905	Engel [1]	griech	angelos
15442	d2e968690Meyers-1905	Englisch Horn	ital	Corno inglese
15442	d2e968690Meyers-1905	Englisch Horn	franz	Cor anglais
15509	d2e970963Meyers-1905	Enquete	franz	enquête
15558	d2e973429Meyers-1905	Enthusiasmus	griech	enthus
15560	d2e973494Meyers-1905	Entität	lat	ens
15588	d2e974635Meyers-1905	Entre chien et loup	lat	inter canem et
15595	d2e974743Meyers-1905	Entremēs	franz	Entremets
15612	d2e975142Meyers-1905	Entropīe	griech	en trépein
15614	d2e975203Meyers-1905	Entsatz	franz	Secours
15618	d2e975521Meyers-1905	Entwährung [1]	lat	evictio
15639	d2e976952Meyers-1905	Enzyklĭka	griech	Litterae encyclicae
15662	d2e978331Meyers-1905	Épée	ital	espada
15684	d2e979219Meyers-1905	Ephŏrus	griech	éphoros
15706	d2e980182Meyers-1905	Epigrammata figurāta	lat	Carmina figurata
15708	d2e980219Meyers-1905	Epigráph	lat	Inscriptio
15712	d2e980382Meyers-1905	Epikedeion	lat	Epicedīum
15744	d2e981768Meyers-1905	Episcŏpus	griech	episkopos
15773	d2e982547Meyers-1905	Epitaph	griech	Epitaphion
15776	d2e982599Meyers-1905	Epithalamĭon	lat	Epithalamium
15779	d2e982658Meyers-1905	Epithēlium	griech	thele
15801	d2e983571Meyers-1905	Eppich	altd	ephi epfih
15814	d2e983984Meyers-1905	Equéstrik	lat	equestris
15814	d2e983984Meyers-1905	Equéstrik	franz	Équitation
15830	d2e985377Meyers-1905	Erbauung	griech	Oikodŏmē
15865	d2e989397Meyers-1905	Erde	lat	Terra
15910	d2e994863Meyers-1905	Eremitage [1]	franz	h ermitage
15911	d2e994899Meyers-1905	Eremīten	griech	érēmos
15916	d2e995064Meyers-1905	Erepticĭa bona	lat	Ereptoria bona
15936	d2e996496Meyers-1905	Erhängen	lat	Suspensio
15956	d2e998411Meyers-1905	Erkenne dich selbst	griech	gnǭthi seautón
15963	d2e998946Meyers-1905	Erlau	lat	Agria
15967	d2e999413Meyers-1905	Erlöser	lat	Salvator
15967	d2e999413Meyers-1905	Erlöser	griech	Sotēr
15968	d2e999453Meyers-1905	Erlösung	lat	Redemtio
15976	d2e1000541Meyers-1905	Erniedrigt	franz	abaissé
15979	d2e1001109Meyers-1905	Ernte	althochd	arn arnôt
15979	d2e1001109Meyers-1905	Ernte	mittelhochd	erne ernde
15996	d2e1002035Meyers-1905	Erpressung	franz	Chantage
16006	d2e1003199Meyers-1905	Erschütterung	lat	Commotio
16010	d2e1003320Meyers-1905	Ersitzung	lat	Capio Usucapio
16016	d2e1003662Meyers-1905	Erstlingsreise	engl	maiden trip
16027	d2e1004312Meyers-1905	Erweichung	lat	Malacia
16032	d2e1004907Meyers-1905	Erythēm	griech	Erythema
16043	d2e1005662Meyers-1905	Erz	althochd	aruzi erezi
16043	d2e1005662Meyers-1905	Erz	mittelhochd	arze erze erz
16049	d2e1006470Meyers-1905	Erziehung	lat	Educatio
16053	d2e1007150Meyers-1905	Erzlaute	ital	Archilinto
16061	d2e1007582Meyers-1905	Es [2]	ital	Mi bemolle
16061	d2e1007582Meyers-1905	Es [2]	franz	Mi bémol
16061	d2e1007582Meyers-1905	Es [2]	engl	E flat
16098	d2e1009879Meyers-1905	Eskadron	franz	escadron
16099	d2e1009938Meyers-1905	Eskalade	lat	scala
16109	d2e1010421Meyers-1905	Eskompte	franz	escompte
16109	d2e1010421Meyers-1905	Eskompte	mittellat	excomputāre
16124	d2e1011397Meyers-1905	Espérto	lat	expertus
16140	d2e1011964Meyers-1905	Esquire	altfranz	escuyer
16140	d2e1011964Meyers-1905	Esquire	mittellat	scutarius
16147	d2e1012274Meyers-1905	Essay	franz	Essai
16149	d2e1012335Meyers-1905	Eßbouquet	franz	ess bouquet
16190	d2e1015299Meyers-1905	Esthland	lat	Estonia
16193	d2e1015521Meyers-1905	Estīva	franz	Estive
16211	d2e1016046Meyers-1905	Estrich	althochd	estirih
16211	d2e1016046Meyers-1905	Estrich	mittellat	astricus
16215	d2e1016314Meyers-1905	Etablieren	lat	stabilire
16222	d2e1016546Meyers-1905	Etamīn	franz	étamine
16228	d2e1016780Meyers-1905	Etat	lat	status
16246	d2e1017241Meyers-1905	Ethik	griech	ēthos
16256	d2e1017814Meyers-1905	Etikette	franz	étiquette
16355	d2e1025528Meyers-1905	Europäischer Bote	russ	Wjestnik Jewropy
16400	d2e1028194Meyers-1905	Evaux	lat	Evahonium
16445	d2e1030060Meyers-1905	Ewiges Evangelium	lat	Evangelium aeternum
16446	d2e1030154Meyers-1905	Ewige Stadt	lat	Urbs aeterna
16447	d2e1030188Meyers-1905	Ewigkeit	althochd	êwa
16447	d2e1030188Meyers-1905	Ewigkeit	lat	aevum
16447	d2e1030188Meyers-1905	Ewigkeit	griech	aiōn
16485	d2e1031038Meyers-1905	Exchequer	franz	échiquier
16491	d2e1031176Meyers-1905	Exclusīva	lat	sc sententia
16502	d2e1031443Meyers-1905	Exekration	lat	Ex s ecratio
16509	d2e1031650Meyers-1905	Exekutivgewalt	franz	Pouvoir exécutif
16513	d2e1031781Meyers-1905	Exempel	lat	Exemplum
16521	d2e1032003Meyers-1905	Exequĭen	lat	Exsequiae
16546	d2e1032718Meyers-1905	Exīl	lat	Exilium
16570	d2e1033489Meyers-1905	Exkusation	franz	excuse
16608	d2e1034322Meyers-1905	Exorzist	lat	Exorcista
16662	d2e1036131Meyers-1905	Expreß	franz	exprès
16667	d2e1036260Meyers-1905	Expreßzug	franz	express
16689	d2e1036638Meyers-1905	Exspektanzen	lat	Exspectantiae Exspectativae gratiae
16722	d2e1037422Meyers-1905	Extrabukkale Ernährung	lat	bucca
16747	d2e1038154Meyers-1905	Extravaganza	ital	estravaganza
16767	d2e1038581Meyers-1905	Exzellenz	lat	excellentia
16776	d2e1038951Meyers-1905	Exzeß	lat	Excessus
16805	d2e1040306Meyers-1905	Fabel	lat	fabula
16817	d2e1041489Meyers-1905	Fabriken	lat	fabrica
16847	d2e1043556Meyers-1905	Fackel	althochd	facchala
16847	d2e1043556Meyers-1905	Fackel	lat	facula
16848	d2e1043646Meyers-1905	Fackelfeuer	engl	Blue lights
16859	d2e1044317Meyers-1905	Faden [1]	engl	Fathom
16859	d2e1044317Meyers-1905	Faden [1]	schwed	Famn
16859	d2e1044317Meyers-1905	Faden [1]	dän	Favn
16859	d2e1044317Meyers-1905	Faden [1]	holländ	Vaam
16874	d2e1045259Meyers-1905	Fagott	ital	Fagotto
16874	d2e1045259Meyers-1905	Fagott	franz	Basson
16874	d2e1045259Meyers-1905	Fagott	engl	Bassoon
16880	d2e1045746Meyers-1905	Fahne [1]	mittelhochd	vane van
16880	d2e1045746Meyers-1905	Fahne [1]	althochd	fano
16884	d2e1046480Meyers-1905	Fahrende Postämter	franz	Bureaux ambulants
16884	d2e1046480Meyers-1905	Fahrende Postämter	engl	Traveling
16924	d2e1048879Meyers-1905	Fakten	lat	facta
16926	d2e1048940Meyers-1905	Faktisch	lat	factum
16928	d2e1048975Meyers-1905	Faktor [1]	franz	Facteur Gérant
16928	d2e1048975Meyers-1905	Faktor [1]	engl	Factor
16928	d2e1048975Meyers-1905	Faktor [1]	ital	Fattore
16931	d2e1049052Meyers-1905	Faktoreien	franz	Factoreries
16931	d2e1049052Meyers-1905	Faktoreien	ital	Fattorie
16932	d2e1049078Meyers-1905	Faktoreigewicht	engl	Factory weight
16934	d2e1049144Meyers-1905	Faktur	franz	Facture
16934	d2e1049144Meyers-1905	Faktur	engl	Invoice
16934	d2e1049144Meyers-1905	Faktur	ital	Fattura
16937	d2e1049236Meyers-1905	Fakultät	lat	facultas
16940	d2e1049327Meyers-1905	Fala	franz	fa la
16943	d2e1049431Meyers-1905	Faland	mittelhochd	vâlant
16944	d2e1049577Meyers-1905	Falbel [1]	franz	falbala
16956	d2e1050300Meyers-1905	Falke [2]	ital	Falcone
16956	d2e1050300Meyers-1905	Falke [2]	franz	Faucon
16960	d2e1051156Meyers-1905	Falkieren	franz	falquer
16973	d2e1052130Meyers-1905	Fallieren	ital	fallire
16973	d2e1052130Meyers-1905	Fallieren	franz	faillir
16975	d2e1052186Meyers-1905	Fallimént	ital	fallimento
16975	d2e1052186Meyers-1905	Fallimént	franz	faillite
16987	d2e1053076Meyers-1905	Falsche Bai	engl	False Bay
16993	d2e1053493Meyers-1905	Falsimonīe	lat	Falsimonia
17012	d2e1054553Meyers-1905	Familie	lat	Familia
17020	d2e1055205Meyers-1905	Famōs	lat	famosus
17020	d2e1055205Meyers-1905	Famōs	franz	fameux
17024	d2e1055400Meyers-1905	Fanāl	ital	fanale
17024	d2e1055400Meyers-1905	Fanāl	mittellat	fanarium
17024	d2e1055400Meyers-1905	Fanāl	arab	fanâr
17026	d2e1055536Meyers-1905	Fanatismus	lat	fanum
17040	d2e1056319Meyers-1905	Fanon [1]	altd	fano
17041	d2e1056392Meyers-1905	Fant	ital	fante
17073	d2e1059848Meyers-1905	Farce	lat	farcire
17076	d2e1059949Meyers-1905	Fardel	ital	fardello
17089	d2e1060568Meyers-1905	Farinōsae	lat	farina
17101	d2e1061955Meyers-1905	Farraginös	lat	farrago
17116	d2e1062842Meyers-1905	Faschīnen	lat	fascis
17117	d2e1062907Meyers-1905	Fasching	mittelhochd	vaschanc
17122	d2e1063127Meyers-1905	Faseolen	lat	phaseolus
17126	d2e1063507Meyers-1905	Fashion	franz	façon
17129	d2e1063920Meyers-1905	Fassāde	franz	façade
17137	d2e1064577Meyers-1905	Fasti	lat	Dies f
17142	d2e1064890Meyers-1905	Fasziation	lat	fascia
17144	d2e1064931Meyers-1905	Faszīkel	lat	Fasciculus
17150	d2e1065059Meyers-1905	Fatalismus	lat	fatum
17151	d2e1065088Meyers-1905	Fata Morgāna	franz	Fée Morgain
17151	d2e1065088Meyers-1905	Fata Morgāna	mittelhochd	feimorgân fâmorgân
17161	d2e1065544Meyers-1905	Fatzenetli	ital	fazzoletto
17192	d2e1067474Meyers-1905	Faustpfand	lat	Pignus
17194	d2e1067539Meyers-1905	Faustschild	franz	Rondache
17196	d2e1067657Meyers-1905	Fauteuil	mittellat	faldistolium
17197	d2e1067675Meyers-1905	Fautfracht	franz	Faux fret
17197	d2e1067675Meyers-1905	Fautfracht	engl	Dead freight
17200	d2e1067729Meyers-1905	Faux-bourdon	ital	Falso bordone
17200	d2e1067729Meyers-1905	Faux-bourdon	engl	Fa burden
17228	d2e1069072Meyers-1905	Fazenda	span	Hacienda
17229	d2e1069095Meyers-1905	Fazetĭen	lat	Facetiae
17231	d2e1069151Meyers-1905	Fazĭes	lat	facies
17233	d2e1069206Meyers-1905	Fazilletlein	ital	fazzoletto
17235	d2e1069270Meyers-1905	Fazit	lat	facit
17237	d2e1069378Meyers-1905	F dur	ital	Fa maggiore
17237	d2e1069378Meyers-1905	F dur	franz	Fa majeur
17237	d2e1069378Meyers-1905	F dur	engl	F major
17260	d2e1072586Meyers-1905	Fegfeuer	lat	Ignis purgatorius Purgatorium
17262	d2e1072631Meyers-1905	Fehde	mittelhochd	vêhede vêde
17265	d2e1072783Meyers-1905	Fehér Egyház	lat	Alba Ecclesia
17267	d2e1072887Meyers-1905	Fehlendes Glied	engl	missing link
17269	d2e1072947Meyers-1905	Fehlgeburt	franz	Fausse couche
17278	d2e1073926Meyers-1905	Feilmaschine	engl	Shaping machine
17280	d2e1074188Meyers-1905	Feingehalt	franz	Titre Aloi Loi
17280	d2e1074188Meyers-1905	Feingehalt	engl	Standard
17305	d2e1078108Meyers-1905	Feldschlange	franz	Couleuvrine
17317	d2e1079268Meyers-1905	Feldzug	franz	Campagne
17328	d2e1079655Meyers-1905	Felizitieren	franz	féliciter
17330	d2e1079718Meyers-1905	Fell [2]	schwed	Fjäll
17331	d2e1079770Meyers-1905	Fellah	arab	felaha
17332	d2e1079852Meyers-1905	Felleisen	mittellat	valisia
17332	d2e1079852Meyers-1905	Felleisen	ital	valigia
17332	d2e1079852Meyers-1905	Felleisen	franz	valise
17340	d2e1080231Meyers-1905	Felonīe	mittellat	felo
17360	d2e1081497Meyers-1905	Feminismus	lat	femina
17360	d2e1081497Meyers-1905	Feminismus	franz	féminisme
17364	d2e1081620Meyers-1905	Fen [2]	engl	Fun
17380	d2e1082358Meyers-1905	Fenster	lat	fenestra
17384	d2e1082848Meyers-1905	Fenz	engl	fence
17392	d2e1083139Meyers-1905	Ferdinand	span	Fernando Hernando
17392	d2e1083139Meyers-1905	Ferdinand	althochd	Herinand
17399	d2e1083938Meyers-1905	Ferge	mittelhochd	verge
17412	d2e1084712Meyers-1905	Ferm	lat	firmus
17416	d2e1084827Meyers-1905	Fermāte	ital	fermata
17418	d2e1084892Meyers-1905	Fermentarĭer	lat	fermentum
17420	d2e1084933Meyers-1905	Ferménte	lat	Fermenta
17462	d2e1089399Meyers-1905	Ferruginös	lat	ferrugo
17467	d2e1089734Meyers-1905	Ferté La	lat	Firmitas
17474	d2e1090125Meyers-1905	Fes [1]	ital	Fa bemolle
17474	d2e1090125Meyers-1905	Fes [1]	franz	Fa bémol
17474	d2e1090125Meyers-1905	Fes [1]	engl	F flat
17479	d2e1090614Meyers-1905	Feste [2]	lat	festum dies festus
17530	d2e1096943Meyers-1905	Feuerbrand	engl	Firebrand
17538	d2e1097617Meyers-1905	Feuerland	span	Tierra del Fuego
17538	d2e1097617Meyers-1905	Feuerland	engl	Fuegia
17542	d2e1098351Meyers-1905	Feuermal	lat	Naevus purpureus
17559	d2e1101623Meyers-1905	Feuillanten	lat	Fulienses
17575	d2e1102409Meyers-1905	Fiaker	franz	Fiacre
17581	d2e1102606Meyers-1905	Fibel [2]	lat	Fibula
17595	d2e1103664Meyers-1905	Fichtelgebirge	lat	Mons pinĭfer
17606	d2e1105094Meyers-1905	Fidēl	lat	fidelis
17618	d2e1105675Meyers-1905	Fidūz	lat	Fiducia
17623	d2e1106184Meyers-1905	Fiedel	lat	fides
17646	d2e1107186Meyers-1905	Figulīna	lat	Figlina
17659	d2e1107668Meyers-1905	Fiktilĭen	lat	Figlina
17660	d2e1107685Meyers-1905	Fiktion	lat	Fictio
17687	d2e1108553Meyers-1905	Filigrān	ital	Filigrána
17687	d2e1108553Meyers-1905	Filigrān	franz	Filigrane
17687	d2e1108553Meyers-1905	Filigrān	lat	filum granum
17693	d2e1108937Meyers-1905	Fille	lat	filia
17702	d2e1109414Meyers-1905	Filtrieren	mittellat	filtrum
17712	d2e1110135Meyers-1905	Finanzgesellschaften	engl	financial companies
17734	d2e1111971Meyers-1905	Fingierte Rechnung	ital	Conto finto
17757	d2e1114506Meyers-1905	Finstermetten	lat	Tenebrae
17759	d2e1114624Meyers-1905	Finte [1]	ital	finta
17759	d2e1114624Meyers-1905	Finte [1]	franz	feinte
17766	d2e1115370Meyers-1905	Firlefanz	franz	virelai
17769	d2e1115425Meyers-1905	Firma	ital	firmare
17769	d2e1115425Meyers-1905	Firma	ital	Ragione Ditta
17769	d2e1115425Meyers-1905	Firma	franz	Raison
17769	d2e1115425Meyers-1905	Firma	engl	Firm
17769	d2e1115425Meyers-1905	Firma	span	Firma comercial
17769	d2e1115425Meyers-1905	Firma	portug	Firma
17776	d2e1115863Meyers-1905	Firn	mittelhochd	virne
17782	d2e1116386Meyers-1905	Fis	ital	Fa diesi
17782	d2e1116386Meyers-1905	Fis	franz	Fa dièse
17782	d2e1116386Meyers-1905	Fis	engl	F sharp
17817	d2e1121605Meyers-1905	Fistŭla Eucharistĭae	lat	Canna Siphon Pipa
17829	d2e1122364Meyers-1905	Fiūme [1]	lat	Flumen
17858	d2e1124252Meyers-1905	Flachrennen	engl	Flat races
17862	d2e1125266Meyers-1905	Flagellanten	lat	Flagellantes
17868	d2e1125495Meyers-1905	Flagge	engl	Flag
17868	d2e1125495Meyers-1905	Flagge	franz	Pavillon
17868	d2e1125495Meyers-1905	Flagge	ital	Bandiera
17875	d2e1126105Meyers-1905	Flakon	franz	flacon
17892	d2e1127411Meyers-1905	Flammeri	engl	Flummery
17895	d2e1127555Meyers-1905	Flandern	fläm	Vlaanderen
17895	d2e1127555Meyers-1905	Flandern	span	Flandes
17900	d2e1128040Meyers-1905	Flankeure	franz	flanqueurs
17936	d2e1131116Meyers-1905	Flecken [1]	franz	Bourg
17936	d2e1131116Meyers-1905	Flecken [1]	engl	Borough Country
17949	d2e1132396Meyers-1905	Fleischer [1]	franz	Boucher Charcutier
17962	d2e1133822Meyers-1905	Flesche	franz	flèche
17978	d2e1134287Meyers-1905	Flibustĭer	engl	freebooters
17978	d2e1134287Meyers-1905	Flibustĭer	holländ	vlieboot
17978	d2e1134287Meyers-1905	Flibustĭer	franz	flibot
18001	d2e1136711Meyers-1905	Flockseide	frz	Bassinat
18010	d2e1137098Meyers-1905	Flor [1]	lat	flos
18016	d2e1137273Meyers-1905	Florēn	lat	Florēnus
18016	d2e1137273Meyers-1905	Florēn	franz	Florin
18021	d2e1137645Meyers-1905	Florenz	ital	Firenze
18026	d2e1138458Meyers-1905	Flore und Blanscheflur	franz	Flore et Blanchefleur
18047	d2e1139769Meyers-1905	Flöte	ital	Flauto
18047	d2e1139769Meyers-1905	Flöte	franz	Flûte
18047	d2e1139769Meyers-1905	Flöte	engl	Flute
18049	d2e1139879Meyers-1905	Flötenwerk	ital	Organo di legno
18123	d2e1146505Meyers-1905	F moll	ital	Fa minore
18123	d2e1146505Meyers-1905	F moll	franz	Fa mineur
18123	d2e1146505Meyers-1905	F moll	engl	F minor
18146	d2e1147490Meyers-1905	Foix [2]	lat	Fuxum
18165	d2e1148304Meyers-1905	Folĭe	lat	folium
18170	d2e1148453Meyers-1905	Folĭo	lat	Folium
18174	d2e1148540Meyers-1905	Folkevise	schwed	Folkvisa
18178	d2e1148664Meyers-1905	Follïkel	lat	Folliculus
18191	d2e1149079Meyers-1905	Fonds	lat	fundus
18201	d2e1149566Meyers-1905	Fontäne	franz	Fontaine
18241	d2e1151864Meyers-1905	Forénsisch	lat	forensis
18258	d2e1152331Meyers-1905	Forke	lat	furca
18260	d2e1152510Meyers-1905	Form [1]	lat	forma
18275	d2e1153220Meyers-1905	Formel	lat	formula
18296	d2e1154505Meyers-1905	Fornikánt	lat	Fornicarius Fornicator
18300	d2e1154719Meyers-1905	Forsch	franz	force
18301	d2e1154736Meyers-1905	Forseti	althochd	forasizo
18301	d2e1154736Meyers-1905	Forseti	fries	Fosite
18347	d2e1159790Meyers-1905	Fossōres	griech	Kopiátai
18376	d2e1160992Meyers-1905	Fourage	franz	fourrage
18386	d2e1161317Meyers-1905	Fourīer	franz	fourrier
18412	d2e1162857Meyers-1905	Frack	engl	Frock
18412	d2e1162857Meyers-1905	Frack	franz	Frac
18423	d2e1163341Meyers-1905	Frais	althochd	freisa
18428	d2e1163541Meyers-1905	Frambösīe	franz	framboise
18460	d2e1165078Meyers-1905	Franco bollo	ital	Bollo franco
18467	d2e1165475Meyers-1905	Frank [2]	franz	Franc
18478	d2e1168190Meyers-1905	Frankreich	lat	Franco Gallia
18478	d2e1168190Meyers-1905	Frankreich	franz	la France
18481	d2e1172754Meyers-1905	Franse	franz	Frange
18485	d2e1172885Meyers-1905	Franz [1]	lat	Franciscus
18485	d2e1172885Meyers-1905	Franz [1]	franz	François
18485	d2e1172885Meyers-1905	Franz [1]	ital	Francesco
18485	d2e1172885Meyers-1905	Franz [1]	span	Francisco
18497	d2e1179744Meyers-1905	Fräse [1]	franz	fraise
18512	d2e1180307Meyers-1905	Fraticellen	lat	Fratres de paupere
18512	d2e1180307Meyers-1905	Fraticellen	ital	Fraticelli della opinione
18528	d2e1182151Meyers-1905	Frauenzimmer	mittelhochd	vrouwenzimmer
18529	d2e1182199Meyers-1905	Fräulein	mittelhochd	vrouwelîn
18556	d2e1183959Meyers-1905	Freibergen	franz	Franches Montagnes
18561	d2e1184526Meyers-1905	Freie	althochd	charal
18561	d2e1184526Meyers-1905	Freie	nord	karl
18568	d2e1185676Meyers-1905	Freihandel	engl	Freetrade
18571	d2e1186649Meyers-1905	Freimaurerei	franz	Franc maçonnerie
18571	d2e1186649Meyers-1905	Freimaurerei	engl	Free masonry
18578	d2e1187859Meyers-1905	Freitag	lat	Dies Veneris
18578	d2e1187859Meyers-1905	Freitag	franz	Vendredi
18578	d2e1187859Meyers-1905	Freitag	engl	Friday
18578	d2e1187859Meyers-1905	Freitag	schwed	Fredag
18598	d2e1189558Meyers-1905	Frequentatīvum	lat	sc verbum
18610	d2e1190119Meyers-1905	Fresken	ital	affreschi
18633	d2e1191858Meyers-1905	Friede	lat	Pax
18633	d2e1191858Meyers-1905	Friede	franz	Paix
18633	d2e1191858Meyers-1905	Friede	engl	Peace
18635	d2e1192375Meyers-1905	Friedensfürst	span	Principe de la
18638	d2e1192678Meyers-1905	Friedenspfeife	franz	Calumet
18638	d2e1192678Meyers-1905	Friedenspfeife	lat	calamellus
18642	d2e1193450Meyers-1905	Friedrich [1]	mittelhochd	Friderîch
18642	d2e1193450Meyers-1905	Friedrich [1]	lat	Fridericus
18642	d2e1193450Meyers-1905	Friedrich [1]	franz	Frédéric
18642	d2e1193450Meyers-1905	Friedrich [1]	engl	Frederick
18649	d2e1197374Meyers-1905	Frigīd	lat	frigidus
18652	d2e1197515Meyers-1905	Frikassee	franz	Fricassée
18653	d2e1197535Meyers-1905	Frikatīvlaute	lat	Fricativae
18667	d2e1198785Meyers-1905	Frittūra	franz	Friture
18686	d2e1200157Meyers-1905	Fronleichnamsfest	franz	la Fête Dieu
18689	d2e1200279Meyers-1905	Front	franz	front
18689	d2e1200279Meyers-1905	Front	lat	frons
18709	d2e1202259Meyers-1905	Frucht [1]	lat	fructus
18734	d2e1204379Meyers-1905	Frühling	lat	Ver
18734	d2e1204379Meyers-1905	Frühling	franz	Printemps
18734	d2e1204379Meyers-1905	Frühling	engl	Spring
18741	d2e1204842Meyers-1905	Fruktuōs	lat	fructuosus
18756	d2e1206750Meyers-1905	Fuēnterrabīa	lat	Fons Rapidus
18757	d2e1206829Meyers-1905	Fuēros	lat	forum
18760	d2e1206956Meyers-1905	Fugasse	franz	fougasse
18763	d2e1207028Meyers-1905	Fuge [2]	lat	Fuga
18763	d2e1207028Meyers-1905	Fuge [2]	engl	Fugue
18796	d2e1209575Meyers-1905	Füllhorn	lat	Cornu copiae
18802	d2e1209917Meyers-1905	Fuls	arab	fulûs
18817	d2e1210488Meyers-1905	Funambulist	lat	funambulus
18821	d2e1210760Meyers-1905	Fundamentalbaß	franz	Basse fondamentale
18832	d2e1211240Meyers-1905	Fünen	lat	Fionia
