	EntryID	Headword	Origin language	Lemma synonym
1364	d2e86012Meyers-1905	Alpen [1]	kelt	alp
1368	d2e87361Meyers-1905	Alpenjäger	ital	Cacciatori delle Alpi
1384	d2e88906Meyers-1905	Alraun [1]	althochd	alrûna
1384	d2e88906Meyers-1905	Alraun [1]	got	rûna
1390	d2e89550Meyers-1905	Alt [1]	engl	aged
1391	d2e89570Meyers-1905	Alt [2]	franz	Haute contre
1394	d2e89860Meyers-1905	Altān	ital	altana
1396	d2e89894Meyers-1905	Altar [2]	lat	alta ara
1418	d2e91947Meyers-1905	Altersschwäche	lat	Involutio senilis
1438	d2e93900Meyers-1905	Altruismus	ital	altrui
1444	d2e94497Meyers-1905	Altvordern	althochdtsch	vordoro
1453	d2e94766Meyers-1905	Aluminĭum	lat	alumen
1496	d2e97676Meyers-1905	Amarillfieber	span	amarillo
1498	d2e97905Meyers-1905	Amásis	ägypt	Ahmose
1536	d2e99615Meyers-1905	Amboß [1]	althochd	anabôz
1568	d2e101609Meyers-1905	Amentīe	lat	Amentia
1604	d2e104711Meyers-1905	Amme	altnord	amma
1623	d2e106876Meyers-1905	A moll	ital	LA minore
1623	d2e106876Meyers-1905	A moll	franz	LA mineur
1623	d2e106876Meyers-1905	A moll	engl	A minor
1632	d2e107314Meyers-1905	Amortisation	franz	amortir
1638	d2e107542Meyers-1905	Ampel	lat	ref type entry
1672	d2e109393Meyers-1905	Amplitude	lat	amplitudo
1693	d2e111163Meyers-1905	Amulett	arab	hamalet
1722	d2e113084Meyers-1905	Anagnóst	lat	Lector
1747	d2e114324Meyers-1905	Analzim	griech	analkis
1782	d2e116878Meyers-1905	Anatozismus	lat	Usurae usurarum
1790	d2e117560Meyers-1905	Anciennität	franz	ancienneté
1799	d2e118005Meyers-1905	Andalusien	span	Andalucia
1803	d2e118315Meyers-1905	Andelang	lat	andelangus
1803	d2e118315Meyers-1905	Andelang	franz	gantelet
1864	d2e122727Meyers-1905	Anführungszeichen	franz	Guillemets
1864	d2e122727Meyers-1905	Anführungszeichen	engl	Inverted commas
1865	d2e122750Meyers-1905	Angang	altd	aneganc
1869	d2e122910Meyers-1905	Angebot	franz	offre
1870	d2e123122Meyers-1905	Angel [1]	altd	angel angul
1888	d2e124640Meyers-1905	Angĭo...	griech	angeion
1909	d2e125790Meyers-1905	Angorawolle	frz	Poil de chèvre
1915	d2e126099Meyers-1905	Angriff	franz	Attaque
1918	d2e126272Meyers-1905	Ängster	mittellat	Augustrum
1923	d2e126487Meyers-1905	Angulli	engl	ungulee
1924	d2e126560Meyers-1905	Angußfarbe	franz	Engobe
1929	d2e127093Meyers-1905	Anhydrīde	griech	anydros
1930	d2e127211Meyers-1905	Anhydrít	griech	anydros
1936	d2e127507Meyers-1905	Anīl	ind	nîla
1965	d2e128984Meyers-1905	Anker [2]	lat	ankyra ankora
1980	d2e130686Meyers-1905	Anna [2]	hebr	channâh
1989	d2e131317Meyers-1905	Annāten	lat	annatae
2036	d2e133496Meyers-1905	Anpassung	lat	Adaptatio
2041	d2e134150Meyers-1905	Ansbach [2]	lat	Onoldinum
2054	d2e135602Meyers-1905	Anstand [1]	lat	Decorum
2064	d2e136201Meyers-1905	Antaphroditische Mittel	griech	Antaphrodisiaca Anaphrodisiaca
2080	d2e136737Meyers-1905	Anten	lat	Antae
2112	d2e138100Meyers-1905	Anthrazēn	griech	anthrax
2122	d2e138686Meyers-1905	Anthropophagie	span	Canibals
2127	d2e139179Meyers-1905	Antibaptist	griech	baptistes
2147	d2e139880Meyers-1905	Antīk	lat	antiquus
2183	d2e142812Meyers-1905	Antiphōn	franz	Antienne
2190	d2e143044Meyers-1905	Antīqua	franz	Romain
