	EntryID	Headword	term	title translation
87	d2e37907Meyers-1905	Afrika	Erdnuß 	Arachis
88	d2e37907Meyers-1905	Afrika	Mohrenhirse 	Andropogon Sorghum
89	d2e37907Meyers-1905	Afrika	Dagussa 	Eleusine coracana
90	d2e37907Meyers-1905	Afrika	Erdbohne 	Voandzeia subterranea
91	d2e40760Meyers-1905	After	gerung 	strictura ani
92	d2e41105Meyers-1905	Afterlehen	Vasallen 	vasallus primus
93	d2e43123Meyers-1905	Age	Schildlaus 	Coccus axin
94	d2e43381Meyers-1905	Agent	Bevollmächtigten 	mandataire
95	d2e43381Meyers-1905	Agent	Angestellten 	fonctionnaire
96	d2e43666Meyers-1905	Ager publĭcus	überwiesen 	ager privatus assignatus
97	d2e43666Meyers-1905	Ager publĭcus	Abgabe 	vectigal
98	d2e43666Meyers-1905	Ager publĭcus	Staatsland 	a. p. stipendiarius
99	d2e43666Meyers-1905	Ager publĭcus	Besitzergreifung 	occupatio
100	d2e43666Meyers-1905	Ager publĭcus	Nutznießung 	usucapio
101	d2e43961Meyers-1905	Agglutination	Klebmittel 	Agglutinantia
102	d2e48044Meyers-1905	Aguti	Meerschweinchen 	Caviidae
103	d2e48146Meyers-1905	Ägypten	Dammbauten 	barrage
104	d2e48146Meyers-1905	Ägypten	Koloquinten 	Citrullus Colocynthis
105	d2e48146Meyers-1905	Ägypten	Oscharstrauch 	Calotropis procera
106	d2e48146Meyers-1905	Ägypten	Zwergmimose 	Prosopis Stephaniana
107	d2e48146Meyers-1905	Ägypten	Kleeart 	Trifolium alexandrinum
108	d2e48146Meyers-1905	Ägypten	Suntbaum 	Acacia nilotica
109	d2e48146Meyers-1905	Ägypten	Rizinusstande 	Ricinus communis
110	d2e48146Meyers-1905	Ägypten	Lotosblume 	Nelumbium speciosum
111	d2e48146Meyers-1905	Ägypten	Tef 	Eragrostis abyssinica
112	d2e48146Meyers-1905	Ägypten	Erdmandel 	Cyperus esculentus
113	d2e48146Meyers-1905	Ägypten	Argunpalme 	Hyphaena Argun
114	d2e48146Meyers-1905	Ägypten	Oschar 	Calotropis procera
115	d2e48146Meyers-1905	Ägypten	Flechten 	Parmelia furfuracea
116	d2e48146Meyers-1905	Ägypten	Klippdachs 	Hyrax
117	d2e48146Meyers-1905	Ägypten	Pillenkäfer 	Ateuchus sacer
118	d2e48146Meyers-1905	Ägypten	Lotusart 	Nymphaea lotus
119	d2e48146Meyers-1905	Ägypten	Papyrus 	Cyperus papyrus
120	d2e48146Meyers-1905	Ägypten	Vizekönig 	praefectus
121	d2e52921Meyers-1905	Air	Tanztypus 	A. de danse
122	d2e53079Meyers-1905	Airdrie	Stadt 	municipal burgh
123	d2e54224Meyers-1905	Akademie	Malerei 	de sculpture et de peinture
124	d2e54224Meyers-1905	Akademie	Mitgliedern 	les quarante immortels
125	d2e54224Meyers-1905	Akademie	Institut 	Istituto Lombardo di scienze
126	d2e54224Meyers-1905	Akademie	Wissenschaften 	Kongelige Danske Videnskabernes Selskab
127	d2e54224Meyers-1905	Akademie	Vereine 	societies
128	d2e54224Meyers-1905	Akademie	Paris 	A. des sciences
129	d2e54224Meyers-1905	Akademie	Vereinigung 	Association internationale des Académies
130	d2e55325Meyers-1905	Akalēphen	festgewachsen 	Lucernaria
131	d2e56830Meyers-1905	Akkord [1]	Grundakkorde 	Accords fondamentaux
132	d2e56830Meyers-1905	Akkord [1]	Stimmung 	scordatura
133	d2e57841Meyers-1905	Akonītsäure	Schachtelhalm 	Equisetum
134	d2e59105Meyers-1905	Aktie	Privilegien 	octroi
135	d2e59105Meyers-1905	Aktie	Aktiengesellschaften 	sociétés anonymes
136	d2e59105Meyers-1905	Aktie	her 	joint stock companies without limited liability
137	d2e59105Meyers-1905	Aktie	Kapitalanteile 	shares
138	d2e59105Meyers-1905	Aktie	Solidarhaft 	company unlimited having a capital divided into shares
139	d2e59105Meyers-1905	Aktie	Haftung 	company limited by shares
140	d2e59105Meyers-1905	Aktie	Nachschußpflicht 	company limited by guarantee and having a capital divided into shares
141	d2e60746Meyers-1905	Akzent	Zeichens 	accentus circumflexus
142	d2e61331Meyers-1905	Akzise	England 	Excise
143	d2e61407Meyers-1905	Ala [2]	Oberoffiziere 	praefecti socium
144	d2e61407Meyers-1905	Ala [2]	Offiziere 	praefecti cohortium
145	d2e61407Meyers-1905	Ala [2]	Wachsmasken 	imagines
146	d2e61513Meyers-1905	Alabāma	Tierreste 	Hydrarchus
147	d2e61542Meyers-1905	Alabama	Kiefern 	Pinus australis, P. cubensis, P. taeda
148	d2e62359Meyers-1905	Aland [1]	Karpfen 	Cyprinidae
149	d2e62777Meyers-1905	Alarcón y Mendōza	Charakterdrama 	comedia de costumbres
150	d2e62842Meyers-1905	Alărich	Illyrien 	magister militum per Illyricum
151	d2e64463Meyers-1905	Albanĭen	Albanesen 	Albani
152	d2e64775Meyers-1905	Albătros	Sturmvögel 	Procellariidae
153	d2e69393Meyers-1905	Aldeburgh	Hafenstadt 	municipal borough
154	d2e69729Meyers-1905	Alderman	Grafschaften 	shires
155	d2e69729Meyers-1905	Alderman	Ältesten 	senatores
156	d2e69729Meyers-1905	Alderman	Volksversammlungen 	witena-gemot
157	d2e69729Meyers-1905	Alderman	Stadtviertels 	ward
158	d2e74792Meyers-1905	Algen	Zellen 	Zygnemaceae
159	d2e74792Meyers-1905	Algen	Veilchensteinalge 	Chroolepus iolithus
160	d2e74792Meyers-1905	Algen	Vertiefung 	Conceptaculum
