	EntryID	Headword	sogenannt
105	d2e1287031Meyers-1905	Gentry	County families
106	d2e1322105Meyers-1905	Gewohnheitsrecht	desuetudo
107	d2e1332263Meyers-1905	Gil Vicente	Custodia di Belem
108	d2e1338223Meyers-1905	Gladĭatoren	auctorati
109	d2e1338223Meyers-1905	Gladĭatoren	Spoliarium
110	d2e1351616Meyers-1905	Glorĭa [1]	G. in excelsis (deo et in terra pax hominibus bonae voluntatis
111	d2e1374810Meyers-1905	Goten	Antiqua
112	d2e1376542Meyers-1905	Gotische Sprache	Gothi Tetraxitae
113	d2e1382849Meyers-1905	Graciān	conceptismo
114	d2e1405415Meyers-1905	Griechische Kirche	Confessio orthodoxa;
115	d2e1412622Meyers-1905	Großbritannien	Charta libertatum
116	d2e1412622Meyers-1905	Großbritannien	Murder-bill
117	d2e1412622Meyers-1905	Großbritannien	Householdsuffrage
118	d2e1420495Meyers-1905	Grotesk	grotte
119	d2e1471417Meyers-1905	Haloánder	editio Nerica
120	d2e1474963Meyers-1905	Hamburg [2]	Merchant Adventurers
121	d2e1486487Meyers-1905	Handschrift	Codex argenteus
122	d2e1493782Meyers-1905	Hare	Broad Church
123	d2e1517284Meyers-1905	Haweis	Broad Church
124	d2e1578128Meyers-1905	Hingabe an Erfüllungs Statt	lex commissoria
125	d2e1591555Meyers-1905	Hoden	corpus Highmori
126	d2e1610922Meyers-1905	Homēros	Homerus Latinus
127	d2e1613053Meyers-1905	Hondūras	Tierra templada
128	d2e1617203Meyers-1905	Horae canonĭcae	Landes
129	d2e1626417Meyers-1905	Howe	Perkins Institution for the Blind
130	d2e1629263Meyers-1905	Huddersfield	fancy trade
131	d2e1693933Meyers-1905	Inschriften	Monumentum Ancyranum
132	d2e1693933Meyers-1905	Inschriften	Fasti Capitolini
133	d2e1699513Meyers-1905	Interdikt	Interdictio ingressus in ecclesiam
134	d2e1709289Meyers-1905	Irland	Grand Jury
135	d2e1726698Meyers-1905	Itinerarĭa	Tabula Peutingerana
