	EntryID	Headword	group
464	d2e3464492Meyers-1905	Spölalpen	mittlern Zuges
465	d2e3465828Meyers-1905	Spornammern	Unterfamilie
466	d2e3468866Meyers-1905	Springbeutler	Beuteltiere
467	d2e3469123Meyers-1905	Springer [2]	Geradflügler
468	d2e3477427Meyers-1905	Stachelschwein	Stachelschweine
469	d2e3484025Meyers-1905	Stangalpen	Norischen
470	d2e3486073Meyers-1905	Stappen	Kunstunterrichts
471	d2e3486073Meyers-1905	Stappen	den Satan
472	d2e3507810Meyers-1905	Sterkulĭazeen	Sterkulieen
473	d2e3516275Meyers-1905	Stilfser Joch	Rätischen
475	d2e3542239Meyers-1905	Stubaier Alpen	zentralen Gneiszone
476	d2e3551937Meyers-1905	Suctorĭa	Infusorien
477	d2e3575447Meyers-1905	Syrische Sprache und Literatur	semitischen Sprachen
478	d2e3575878Meyers-1905	Syrjänen	Kamasinnen
479	d2e3575878Meyers-1905	Syrjänen	uralaltaischen Sprachstammes
480	d2e3581119Meyers-1905	Tachīna	Mordfliegen
482	d2e3582596Meyers-1905	Tafellilien	Haarsterne
483	d2e3584184Meyers-1905	Tagulandang	Sangi
484	d2e3591553Meyers-1905	Tangūten	einsilbigen Sprachen
485	d2e3602247Meyers-1905	Taucher	Schwimmvögel
486	d2e3624233Meyers-1905	Tessellāta	Haarsterne
487	d2e3633687Meyers-1905	Theodosianer	Bespopowzi
488	d2e3639575Meyers-1905	Tholeiīt	Melaphyr
489	d2e3640960Meyers-1905	Thomsonīt	Zeolithe
490	d2e3642107Meyers-1905	Thorwaldsen	Grazien
491	d2e3649791Meyers-1905	Tierläuse	Halbflügler
492	d2e3658171Meyers-1905	Titlis	Dammastocks
493	d2e3671831Meyers-1905	Tortúga	Tortugillos
494	d2e3678085Meyers-1905	Trachytpechstein	Trachyts
495	d2e3682860Meyers-1905	Transvaal	Diabase
496	d2e3711019Meyers-1905	Tscheremissen	uralaltaischen Sprachstammes
497	d2e3711149Meyers-1905	Tscherkessen	Kaukasusvölker
498	d2e3711585Meyers-1905	Tscherokēsen	appalachischen Sprachen
499	d2e3718546Meyers-1905	Tungūsen	Mongolen
500	d2e3718594Meyers-1905	Tungusische Sprache	uralaltaischen Sprachstammes
501	d2e3723355Meyers-1905	Turkmēnen	Ural
502	d2e3734999Meyers-1905	Ugrische Völker	Uralaltaier
503	d2e3735032Meyers-1905	Ugweno	Stämme
504	d2e3741147Meyers-1905	Unbedingte	deutschen Burschenschaft
505	d2e3746707Meyers-1905	Universitäten	Staatswissenschaften
506	d2e3764428Meyers-1905	Vaginātenkalk	Vaginata
507	d2e3769640Meyers-1905	Vanoisegruppe	Grajischen
508	d2e3792609Meyers-1905	Vermilingues	Eidechsen
509	d2e3844878Meyers-1905	Wahadimu	Suaheli
510	d2e3859174Meyers-1905	Wanzen	Halbflügler
511	d2e3886087Meyers-1905	Weinbergschnecke	Lungenschnecken
512	d2e3889872Meyers-1905	Weißes Meer	Solowezkischen
513	d2e3891055Meyers-1905	Weißspitze	Hohen
514	d2e3891727Meyers-1905	Weizen	Gramineengattung
515	d2e3892095Meyers-1905	Wekelsdorf	Adersbacher
516	d2e3894100Meyers-1905	Wellhornschnecke	Vorderkiemer
517	d2e3896911Meyers-1905	Wendeltreppe [2]	Vorderkiemer
518	d2e3903563Meyers-1905	Westgermanisch	germanischen Sprachen
519	d2e3906314Meyers-1905	Wettersteingebirge	Nordtiroler
520	d2e3911910Meyers-1905	Wiederkäuer	paarzehigen Huftiere
522	d2e3935273Meyers-1905	Wlassics	Dissidenten
523	d2e3936231Meyers-1905	Wogūlen	uralaltaischen Sprachstammes
524	d2e3938202Meyers-1905	Wolff	sterbenden Löwin
525	d2e3949995Meyers-1905	Wurmzüngler	Eidechsen
526	d2e3952228Meyers-1905	Wurzelfresser	Beuteltiere
527	d2e3965010Meyers-1905	Zahnschnecke	Röhrenschnecken
528	d2e3969859Meyers-1905	Zebu [2]	Vizayas
529	d2e3985746Meyers-1905	Zigeuner	Ethnologisch
530	d2e4001785Meyers-1905	Zopf [2]	Monadinen
