	EntryID	Headword	terms	origin
55447	d2e3819128Meyers-1905	Viskös	['viscum']	['v. lat']
55558	d2e3825748Meyers-1905	Volapük	['world', 'speak']	[' a. d. engl']
55778	d2e3846525Meyers-1905	Währung	['valere', 'Étalon']	['v. lat']
56367	d2e3908082Meyers-1905	Whisky	['uisge beatha', 'usquebaugh']	['aus dem irischen']
56481	d2e3917159Meyers-1905	Wildbret	['wilt', 'prâtan']	['v. altd']
56886	d2e3954777Meyers-1905	Xanthelásma	['xanthos']	['v. griech']
56914	d2e3956395Meyers-1905	Xylektypōm	['xýlon', 'ektypon']	['v. griech']
56938	d2e3957413Meyers-1905	Yangtsekiang	[]	['v. Richthofen']
57092	d2e3967723Meyers-1905	Zar	['Caesar']	['v. lat']
57131	d2e3969944Meyers-1905	Zeche	['gizëhôn']	['v. althochd']
57186	d2e3975862Meyers-1905	Zemént	['caementum']	['v. lat']
57190	d2e3976425Meyers-1905	Zenareïden	[]	['v. griech']
57208	d2e3977622Meyers-1905	Zenti	['centum']	['v. lat']
57211	d2e3977724Meyers-1905	Zentner	['centenarius']	['v. lat']
57222	d2e3978844Meyers-1905	Zentrieren	[]	['v. lat']
57250	d2e3980244Meyers-1905	Zernierung	['cerner']	['v. franz']
57321	d2e3986696Meyers-1905	Zimentieren	['cimento']	['v. ital']
57339	d2e3988255Meyers-1905	Zingel	['cingulum']	['v. lat']
57444	d2e3996103Meyers-1905	Zivilisation	['civis']	['v. lat']
