	EntryID	Headword	terms	origin
40151	d2e2754303Meyers-1905	Pellikāt	['pellex', 'pelex']	[]
40158	d2e2754819Meyers-1905	Pelorĭenbildung	['pélōr']	['v. griech']
40296	d2e2760510Meyers-1905	Pentekontēre	['pentekonta']	['v. griech']
40306	d2e2761071Meyers-1905	Péonage	['peón']	['v. span']
40572	d2e2774643Meyers-1905	Perspektīve	['perspicěre']	['v. lat']
40591	d2e2776176Meyers-1905	Perücke	['pilus']	['v. lat']
40620	d2e2777584Meyers-1905	Peso	['pensum']	['v. lat']
40625	d2e2777735Meyers-1905	Pessimismus	['pessimus']	['v. lat']
40638	d2e2778730Meyers-1905	Petaud	['peto']	['v. lat']
40644	d2e2778970Meyers-1905	Peter [1]	['petros', 'Pierre', 'Pietro']	['v. griech']
40737	d2e2785686Meyers-1905	Pfaffe [1]	['papa']	['v. lat']
40741	d2e2786561Meyers-1905	Pfalz [1]	['palatium']	['v. lat']
40780	d2e2793261Meyers-1905	Pfingsten	['pentekoste']	['v. griech']
40803	d2e2796844Meyers-1905	Pflanzenteratologie	['téras']	['v. griech']
40821	d2e2799892Meyers-1905	Pfründe	['pruanta', 'praebenda']	['v. althochd']
40823	d2e2800156Meyers-1905	Pfund [1]	['pondo', 'pondo libra']	['v. lat']
40864	d2e2802669Meyers-1905	Pharmazie	['phármakon']	['v. griech']
40939	d2e2808517Meyers-1905	Philologie	['philos', 'logos']	['v. griech']
40948	d2e2809185Meyers-1905	Philosophie	['philos', 'sophía']	[]
41094	d2e2818719Meyers-1905	Phyllītes	['phyllon']	['v. griech']
41095	d2e2818751Meyers-1905	Phyllo...	['phyllon']	['v. griech']
41126	d2e2820875Meyers-1905	Physkonīe	['phýskōn']	['v. griech']
41290	d2e2827605Meyers-1905	Pikol	['picul']	['vom malaiischen']
41312	d2e2828526Meyers-1905	Pilger	['peregrinus']	['v. lat']
41314	d2e2828740Meyers-1905	Pilieren	['pila']	['v. lat']
41324	d2e2829224Meyers-1905	Pilōt	['pilos']	['v. griech']
41450	d2e2837839Meyers-1905	Pistole [1]	['pistala']	['vom tschech']
41472	d2e2839340Meyers-1905	Pittorésk	['pittore']	['v. ital']
41485	d2e2840073Meyers-1905	Piut	[]	['v. griech']
41530	d2e2842157Meyers-1905	Planēten	['planētes']	['v. griech']
41573	d2e2845258Meyers-1905	Plate	['plat']	['v. holl']
41576	d2e2845460Meyers-1905	Platerésk	['platero']	['vom span']
41581	d2e2846797Meyers-1905	Platte [3]	['polat']	['v. hebr']
41634	d2e2850185Meyers-1905	Pleo...	['pléon']	['v. griech']
