	EntryID	Headword	genera
5252	d2e132918Meyers-1905	Anōna	Anonazeen
5328	d2e134742Meyers-1905	Anschōvis	Heringsfische
5402	d2e136301Meyers-1905	Antarktische Region	Patula
5429	d2e136789Meyers-1905	Antennaria	Kompositen
5447	d2e137129Meyers-1905	Anthēmĭs	Kompositen
5450	d2e137227Meyers-1905	Antherĭcum	Liliazeen
5472	d2e137721Meyers-1905	Anthoxanthum	Gramineen
5493	d2e138263Meyers-1905	Anthriscus	Umbelliferen
5498	d2e138381Meyers-1905	Anthropologie	Naturwesen
5510	d2e138914Meyers-1905	Anthūrium	Arazeen
5512	d2e139000Meyers-1905	Anthyllis	Leguminosen
5516	d2e139082Meyers-1905	Antiāris	Morazeeu
5530	d2e139451Meyers-1905	Antidesma	Euphorbiazeen
5684	d2e143288Meyers-1905	Antirrhīnum	Skrofulariazeen
5911	d2e148750Meyers-1905	Aphelandra	Akanthazeen
5946	d2e149497Meyers-1905	Apiocrīnus	Haarsterne
5950	d2e149578Meyers-1905	Apĭos	Leguminosen
5954	d2e149676Meyers-1905	Apĭum	Umbelliferen
5976	d2e150086Meyers-1905	Apocўnum	Apocynazeen
6027	d2e151428Meyers-1905	Aponogĕton	Aponogetonazeen
6268	d2e157114Meyers-1905	Aquilarĭa	Thymeläazeen
6270	d2e157176Meyers-1905	Aquilegĭa	Ranunkulazeen
6319	d2e158791Meyers-1905	Arăbis	Kruziferen
6338	d2e159716Meyers-1905	Arăchis	Leguminosen
6372	d2e160483Meyers-1905	Aralĭa	Araliazeen
6411	d2e161482Meyers-1905	Araucarĭa	Koniferen
6517	d2e164984Meyers-1905	Arbūtus	Erikazeen
6528	d2e165214Meyers-1905	Arcella	Wurzelfüßer
6535	d2e165368Meyers-1905	Archangelĭca	Gattung
6599	d2e168746Meyers-1905	Architekturmalerei	Malerei
6624	d2e169457Meyers-1905	Arctĭum	Kompositen
6630	d2e169613Meyers-1905	Arctostaphўlos	Erikazeen
6631	d2e169649Meyers-1905	Arctōtis	Kompositen
6661	d2e170252Meyers-1905	Ardisĭa	Myrsinazeen
6678	d2e170571Meyers-1905	Arēca	Palmen
6702	d2e171171Meyers-1905	Arenga	Palmen
6745	d2e172200Meyers-1905	Argemōne	Papaverazeen
6852	d2e175389Meyers-1905	Arĭocarpus	Kaktazeen
