	EntryID	Headword	division
586	d2e3741504Meyers-1905	Uncinŭla	Perisporiazeen
587	d2e3742943Meyers-1905	Ungarische Sprache	großen Uralaltaischen
588	d2e3747469Meyers-1905	Unkräuter	kaiserlichen Gesundheitsamtes
589	d2e3759005Meyers-1905	Uruguay [2]	Guaraní
590	d2e3785008Meyers-1905	Verdunpreis	Großen
591	d2e3789699Meyers-1905	Verhnel	englischen Flotte
592	d2e3822830Meyers-1905	Vögel	Laufvögel
593	d2e3828399Meyers-1905	Volksschule	Provinzialregierungen
594	d2e3842208Meyers-1905	Waderner Schichten	obern Rotliegenden
595	d2e3842637Meyers-1905	Wafangara	Wasaramo
596	d2e3849756Meyers-1905	Wälderton	Wealdenformation
597	d2e3853365Meyers-1905	Wallace	Londoner
598	d2e3859061Meyers-1905	Waust	Magens
599	d2e3863902Meyers-1905	Wartensleben-Carow	Generalstabs
600	d2e3872994Meyers-1905	Waterh.	Britischen
601	d2e3875134Meyers-1905	Wealdclay	Wealdenformation
602	d2e3881432Meyers-1905	Weib	Nomadenzeltes
603	d2e3888350Meyers-1905	Weiß [2]	Kristallisationssysteme
604	d2e3897285Meyers-1905	Wendische Sprache und Literatur	slawischen Sprachen
605	d2e3900089Meyers-1905	Wernicke	Hochschule
606	d2e3901939Meyers-1905	Wesselényi	adeligen Insurrektion
607	d2e3909428Meyers-1905	Wichern	Gefängniswesens
608	d2e3916779Meyers-1905	Wilcken	königlichen Museen
609	d2e3931792Meyers-1905	Wislicēnus	Reichsmarineamts
610	d2e3932509Meyers-1905	Wissenbacher Schiefer	devonischen Formation
611	d2e3934005Meyers-1905	Wittmack	Museums
612	d2e3934945Meyers-1905	Wladīmir [2]	Reichsbank
613	d2e3970113Meyers-1905	Zechstein	Dyasformation
614	d2e3974897Meyers-1905	Zellensystem	Schiffskörpers
615	d2e3993263Meyers-1905	Zirkularpolarisation	regulären Kristallsystems
616	d2e4000419Meyers-1905	Zonoplacentalĭer	Säugetiere
617	d2e4001511Meyers-1905	Zoophāgen	Beuteltiere
618	d2e4004342Meyers-1905	Zuckerindustrie, Verein der deutschen	Rohzuckerfabriken
619	d2e4004342Meyers-1905	Zuckerindustrie, Verein der deutschen	Raffinerien
620	d2e4004342Meyers-1905	Zuckerindustrie, Verein der deutschen	Raffinerien
621	d2e4004342Meyers-1905	Zuckerindustrie, Verein der deutschen	Vereins
622	d2e4005369Meyers-1905	Zug [1]	Truppenkörper
