	EntryID	Headword	lemma extension
0	d2e717403Meyers-1905	Damen vom heiligen Herzen Jesu	vom Glauben Jesu
1	d2e799571Meyers-1905	Dietrich von Eilenburg	Landsberg
2	d2e1325471Meyers-1905	Gībraltar, Meerenge	Straße von
