	EntryID	Headword	authors
70	d2e836204Meyers-1905	Dorĕma	['Fisch. ', 'et  ', 'Mey.', '']
71	d2e840934Meyers-1905	Douville	['', 'et ', '', '']
72	d2e863183Meyers-1905	Du Casse	['', 'et ', '', '']
73	d2e865849Meyers-1905	Dugong	['Quoy  ', 'et  ', 'Gaim, ', '']
74	d2e885807Meyers-1905	Eccremocarpus	['Ruiz  ', 'et  ', 'Pav. ', '']
75	d2e885807Meyers-1905	Eccremocarpus	['Ruiz  ', 'et  ', 'Pav.', '']
76	d2e892819Meyers-1905	Edw.	['Edw. ', 'et  ', 'H.', '']
77	d2e945135Meyers-1905	Elettarĭa	['White  ', 'et  ', 'Maton, ', '']
78	d2e1005114Meyers-1905	Erythrasma	['Bizz. ', 'et  ', 'Firket ', '']
79	d2e1020807Meyers-1905	Eugenĭa	['W. ', 'et  ', 'A.', '']
80	d2e1020807Meyers-1905	Eugenĭa	['Hook. ', 'et  ', 'Arn.', '']
81	d2e1034396Meyers-1905	Exostema	['Roem. ', 'et  ', 'Schult.', '']
82	d2e1034396Meyers-1905	Exostema	['Humb. ', 'et  ', 'Bp, ', '']
83	d2e1040582Meyers-1905	Fabĭana	['Ruiz  ', 'et  ', 'Pav.', '']
84	d2e1044637Meyers-1905	Fadenpilze	['Prill. ', 'et  ', 'Delacr.', '']
85	d2e1044986Meyers-1905	Fagara	['Krug  ', 'et  ', 'Urb.', '']
86	d2e1060760Meyers-1905	Farne [1]	['Christ  ', 'et  ', 'Bl. ', '']
87	d2e1065374Meyers-1905	Fatsĭa	['Dene. ', 'et  ', 'Planch.', '']
88	d2e1065374Meyers-1905	Fatsĭa	['Dene. ', 'et  ', 'Planch.', '']
89	d2e1089884Meyers-1905	Ferŭla	['Boiss, ', 'et  ', 'Buhse, ', '']
90	d2e1089884Meyers-1905	Ferŭla	['Aitch. ', 'et  ', 'Hmsl.', '']
91	d2e1094528Meyers-1905	F. et M.	['Fisch. ', 'et  ', 'Mey.', '']
92	d2e1101876Meyers-1905	Feuquières	['', 'et ', '', '']
93	d2e1103121Meyers-1905	Fichte [1]	['Jacques  ', 'et  ', 'Hérincq, ', '']
94	d2e1103121Meyers-1905	Fichte [1]	['Jacques  ', 'et  ', 'Caspary, ', '']
95	d2e1125083Meyers-1905	Flacourtĭa	['Zoll  ', 'et  ', 'Mor. ', '']
96	d2e1131512Meyers-1905	Fledermäuse [1]	['Keys. ', 'et  ', 'Blas.', '']
97	d2e1131512Meyers-1905	Fledermäuse [1]	['Keys. ', 'et  ', 'Blas.', '']
98	d2e1131512Meyers-1905	Fledermäuse [1]	['Keys. ', 'et  ', 'Blas.', '']
99	d2e1131512Meyers-1905	Fledermäuse [1]	['Keys. ', 'et  ', 'Blas. ', '']
100	d2e1131512Meyers-1905	Fledermäuse [1]	['Keys. ', 'et  ', 'Blas.', '']
101	d2e1161186Meyers-1905	Foureau	['', 'et ', '', '']
102	d2e1161186Meyers-1905	Foureau	['', 'et ', '', '']
103	d2e1161186Meyers-1905	Foureau	['', 'et ', '', '']
104	d2e1161186Meyers-1905	Foureau	['', 'et ', '', '']
105	d2e1166129Meyers-1905	Frankenĭa	['Ch. ', 'et  ', 'Schl.', '']
106	d2e1190449Meyers-1905	Freteur	['', 'et, ', '', '']
107	d2e1205971Meyers-1905	Fuchsĭa	['Ruiz  ', 'et  ', 'Par.', '']
108	d2e1205971Meyers-1905	Fuchsĭa	['Ruiz  ', 'et  ', 'Pav.', '']
109	d2e1226824Meyers-1905	Galinsoga	['R. ', 'et  ', 'Pav.', '']
110	d2e1230521Meyers-1905	Gallikanische Kirche	['', 'et ', '', '']
111	d2e1237086Meyers-1905	Gänse	['Blas. ', 'et  ', 'Keys.', '']
112	d2e1279641Meyers-1905	Gemse	['Blas. ', 'et  ', 'Keys. ', '']
113	d2e1331620Meyers-1905	Gilĭa	['Ruiz  ', 'et  ', 'Par.', '']
114	d2e1334575Meyers-1905	Giraffe [2]	['Falc, ', 'et  ', 'Cautley ', '']
115	d2e1351444Meyers-1905	Gloĭosporĭum	['Desm. ', 'et  ', 'Mont.', '']
116	d2e1351444Meyers-1905	Gloĭosporĭum	['Sacc. ', 'et  ', 'Magn, ', '']
117	d2e1351444Meyers-1905	Gloĭosporĭum	['Sacc. ', 'et  ', 'Roum. ', '']
118	d2e1352604Meyers-1905	Gloxinĭa	['Benth. ', 'et  ', 'Hook. ', '']
119	d2e1357041Meyers-1905	Gnomonĭa	['Ces. ', 'et  ', 'de Not.', '']
120	d2e1392576Meyers-1905	Grassamenbau	['M. ', 'et  ', 'K.', '']
121	d2e1436378Meyers-1905	Guimpel	['G, ', 'et  ', 'G.', '']
122	d2e1439385Meyers-1905	Gummigärung	['Nencki  ', 'et  ', 'Sieber ', '']
