	EntryID	headword	compound
0	d3e29Brockhaus-1837	Aal	Zitteraal
1	d3e29Brockhaus-1837	Aal	Aalquappe
2	d3e29Brockhaus-1837	Aal	Aalfängen
3	d3e29Brockhaus-1837	Aal	Aalmutter
4	d3e29Brockhaus-1837	Aal	Meeraal
6	d3e29Brockhaus-1837	Aal	Aalraupe
7	d3e29Brockhaus-1837	Aal	Zitteraale
8	d3e163Brockhaus-1837	Abdecker	Abdeckerei
10	d3e187Brockhaus-1837	Abderiten	Abderitenstreiche
11	d3e229Brockhaus-1837	Abend	Abendroth
13	d3e229Brockhaus-1837	Abend	Abendfalter
14	d3e229Brockhaus-1837	Abend	Abendvögel
16	d3e229Brockhaus-1837	Abend	Abendstern
17	d3e229Brockhaus-1837	Abend	Abendpunkt
19	d3e260Brockhaus-1837	Abendmahl	Abendmahles
21	d3e260Brockhaus-1837	Abendmahl	Abendmahlsfeier
22	d3e296Brockhaus-1837	Abenteuer	Abenteuerlichen
24	d3e307Brockhaus-1837	Aberglaube	Aberglaubens
25	d3e425Brockhaus-1837	Ablass	Ablasses
26	d3e439Brockhaus-1837	Ablösung	Ablösungssumme
27	d3e439Brockhaus-1837	Ablösung	Ablösungscapital
28	d3e439Brockhaus-1837	Ablösung	Ablösungsgeschäft
29	d3e439Brockhaus-1837	Ablösung	Ablösungscapitales
30	d3e541Brockhaus-1837	Abschätzung	Abschätzungscommission
31	d3e569Brockhaus-1837	Abschied	verabschiedetes
32	d3e569Brockhaus-1837	Abschied	Landtagsabschiede
33	d3e569Brockhaus-1837	Abschied	Reichsabschiede
34	d3e569Brockhaus-1837	Abschied	Reichsabschied
35	d3e569Brockhaus-1837	Abschied	Landtagsabschieden
36	d3e569Brockhaus-1837	Abschied	verabschiedet
37	d3e610Brockhaus-1837	Absolut	Absolutismus
39	d3e675Brockhaus-1837	Abt	Abtswahl
40	d3e675Brockhaus-1837	Abt	Abtstelle
41	d3e675Brockhaus-1837	Abt	Abtei
42	d3e675Brockhaus-1837	Abt	Abteien
43	d3e675Brockhaus-1837	Abt	Abtgrafen
45	d3e796Brockhaus-1837	Abzugsgeld	Abzugsgelder
46	d3e796Brockhaus-1837	Abzugsgeld	Abzugsgeldes
47	d3e852Brockhaus-1837	Accise	Generalconsumtionsaccise
48	d3e877Brockhaus-1837	Achat	Bandachat
49	d3e877Brockhaus-1837	Achat	Festungsachat
50	d3e877Brockhaus-1837	Achat	Dendritenachat
51	d3e877Brockhaus-1837	Achat	Achatschleifereien
52	d3e877Brockhaus-1837	Achat	Achatbrüche
53	d3e916Brockhaus-1837	Acht	Reichsacht
54	d3e916Brockhaus-1837	Acht	geachtet
55	d3e916Brockhaus-1837	Acht	Achtserklärung
56	d3e916Brockhaus-1837	Acht	Oberacht
57	d3e916Brockhaus-1837	Acht	gebracht
58	d3e916Brockhaus-1837	Acht	Achtsverfahren
59	d3e916Brockhaus-1837	Acht	Achtsformel
60	d3e916Brockhaus-1837	Acht	Achtsprocesse
62	d3e1018Brockhaus-1837	Actor	Actorium
63	d3e1055Brockhaus-1837	Adam	Adamiten
64	d3e1116Brockhaus-1837	Adel	Erbadel
66	d3e1116Brockhaus-1837	Adel	Adelsbrief
67	d3e1116Brockhaus-1837	Adel	Verdienstadel
68	d3e1116Brockhaus-1837	Adel	Adelige
69	d3e1116Brockhaus-1837	Adel	Uradel
70	d3e1116Brockhaus-1837	Adel	Bullenadels
71	d3e1116Brockhaus-1837	Adel	Reichsadels
72	d3e1116Brockhaus-1837	Adel	Geschlechtsadel
73	d3e1116Brockhaus-1837	Adel	Adeligen
74	d3e1197Brockhaus-1837	Adept	Adepten
75	d3e1213Brockhaus-1837	Adern	Schlagadern
76	d3e1213Brockhaus-1837	Adern	Blutadern
77	d3e1213Brockhaus-1837	Adern	Hohladern
78	d3e1213Brockhaus-1837	Adern	Saugadern
79	d3e1213Brockhaus-1837	Adern	Pulsadern
80	d3e1273Brockhaus-1837	Adjutant	Platzadjutanten
81	d3e1273Brockhaus-1837	Adjutant	Bataillonsadjutanten
82	d3e1273Brockhaus-1837	Adjutant	Adjutanten
83	d3e1273Brockhaus-1837	Adjutant	Flügeladjutanten
84	d3e1284Brockhaus-1837	Adler	Adlerorden
85	d3e1284Brockhaus-1837	Adler	Adlerblick
86	d3e1284Brockhaus-1837	Adler	Steinadler
87	d3e1284Brockhaus-1837	Adler	Seeadler
88	d3e1284Brockhaus-1837	Adler	Fischadler
89	d3e1284Brockhaus-1837	Adler	Goldadler
90	d3e1316Brockhaus-1837	Admiral	Admiralsschiff
91	d3e1316Brockhaus-1837	Admiral	Admiralitätscollegien
92	d3e1316Brockhaus-1837	Admiral	Admiralschaft
93	d3e1316Brockhaus-1837	Admiral	Admiralschiff
94	d3e1316Brockhaus-1837	Admiral	Admiralsflagge
95	d3e1316Brockhaus-1837	Admiral	Großadmiral
97	d3e1377Brockhaus-1837	Adresse	Dankadresse
98	d3e1420Brockhaus-1837	Advent	Adventszeit
99	d3e1420Brockhaus-1837	Advent	Adventsonntage
100	d3e1458Brockhaus-1837	Affe	Brüllaffe
101	d3e1458Brockhaus-1837	Affe	Hundskopfaffe
102	d3e1458Brockhaus-1837	Affe	Affenarten
104	d3e1458Brockhaus-1837	Affe	Affenliebe
105	d3e1552Brockhaus-1837	Afrika	Südafrika
106	d3e1552Brockhaus-1837	Afrika	Mittelafrika
107	d3e1552Brockhaus-1837	Afrika	Nordafrika
108	d3e1587Brockhaus-1837	After	Aftererbe
109	d3e1587Brockhaus-1837	After	Afterbürgschaft
110	d3e1587Brockhaus-1837	After	Afterlehn
111	d3e1587Brockhaus-1837	After	Afterglaube
112	d3e1587Brockhaus-1837	After	Aftermiethsmann
113	d3e1587Brockhaus-1837	After	Aftermiethe
114	d3e1587Brockhaus-1837	After	Afterkorn
115	d3e1587Brockhaus-1837	After	Afterbier
116	d3e1587Brockhaus-1837	After	Afterpächter
117	d3e1587Brockhaus-1837	After	Afterlehnsmann
118	d3e1587Brockhaus-1837	After	Afterrede
119	d3e1587Brockhaus-1837	After	Afterlehnsherrn
120	d3e1587Brockhaus-1837	After	Afterpacht
121	d3e1760Brockhaus-1837	Ägypten	Unterägyptens
122	d3e1760Brockhaus-1837	Ägypten	Mittelägypten
123	d3e1760Brockhaus-1837	Ägypten	Unterägypten
124	d3e1760Brockhaus-1837	Ägypten	Oberägypten
126	d3e1808Brockhaus-1837	Ahnen	Ahnenprobe
127	d3e1808Brockhaus-1837	Ahnen	Ahnenzahl
128	d3e1808Brockhaus-1837	Ahnen	Ahnentafel
129	d3e1831Brockhaus-1837	Ahnung	Ahnungen
130	d3e1831Brockhaus-1837	Ahnung	Ahnungsvermögen
131	d3e1845Brockhaus-1837	Ahorn	Ahornsaft
132	d3e1845Brockhaus-1837	Ahorn	Bergahorn
133	d3e1845Brockhaus-1837	Ahorn	Zuckerahorn
134	d3e1845Brockhaus-1837	Ahorn	Feldahorn
135	d3e1845Brockhaus-1837	Ahorn	Ahornarten
136	d3e1880Brockhaus-1837	Aimonskinder	Haimonskinder
138	d3e1894Brockhaus-1837	Akademie	Bergakademie
140	d3e1894Brockhaus-1837	Akademie	Singakademie
141	d3e1894Brockhaus-1837	Akademie	Kunstakademien
142	d3e1934Brockhaus-1837	Alabaster	Alabasterarbeiten
143	d3e1934Brockhaus-1837	Alabaster	Alabasterer
144	d3e1958Brockhaus-1837	Alaun	Alaunsorten
145	d3e1958Brockhaus-1837	Alaun	Alaunsiedereien
146	d3e1958Brockhaus-1837	Alaun	Alaunschiefers
147	d3e1958Brockhaus-1837	Alaun	Alaunsteins
148	d3e2423Brockhaus-1837	Algier	Algierern
149	d3e2469Brockhaus-1837	Ali	Thessalien
151	d3e2513Brockhaus-1837	Alk	Alkart
152	d3e2529Brockhaus-1837	Alkali	Alkalien
155	d3e2666Brockhaus-1837	Almosen	Almosengeben
156	d3e2678Brockhaus-1837	Aloë	Aloesaft
157	d3e2678Brockhaus-1837	Aloë	Aloeblätter
158	d3e2678Brockhaus-1837	Aloë	Roßaloesaft
159	d3e2678Brockhaus-1837	Aloë	Baumaloe
161	d3e2694Brockhaus-1837	Alp	Alpdrücken
162	d3e2734Brockhaus-1837	Alpen	Kühalpen
163	d3e2734Brockhaus-1837	Alpen	Alpenpflanzen
164	d3e2734Brockhaus-1837	Alpen	Alpenbewohner
165	d3e2734Brockhaus-1837	Alpen	Alpenbär
166	d3e2734Brockhaus-1837	Alpen	Alpenhahn
167	d3e2734Brockhaus-1837	Alpen	Berneralpen
168	d3e2734Brockhaus-1837	Alpen	Alpenglöckchen
169	d3e2734Brockhaus-1837	Alpen	Alpenhorn
170	d3e2734Brockhaus-1837	Alpen	Alpenfeste
171	d3e2734Brockhaus-1837	Alpen	Alpenbewohnern
172	d3e2734Brockhaus-1837	Alpen	Schafalpen
173	d3e2734Brockhaus-1837	Alpen	Meeralpen
174	d3e2734Brockhaus-1837	Alpen	Schweizeralpen
175	d3e2734Brockhaus-1837	Alpen	Voralpen
176	d3e2734Brockhaus-1837	Alpen	Alpenrose
177	d3e2734Brockhaus-1837	Alpen	Alpenwirthschaft
178	d3e2734Brockhaus-1837	Alpen	Hochalpen
179	d3e2734Brockhaus-1837	Alpen	Alpenpässen
181	d3e2830Brockhaus-1837	Alt	Altgeigen
182	d3e2830Brockhaus-1837	Alt	Altstimme
183	d3e2830Brockhaus-1837	Alt	Altstimmen
185	d3e2858Brockhaus-1837	Altar	Hochaltar
186	d3e2858Brockhaus-1837	Altar	Hochaltare
187	d3e2872Brockhaus-1837	Altenstein	Altenstein'schen
188	d3e2896Brockhaus-1837	Alter	Greisenalter
189	d3e2896Brockhaus-1837	Alter	Lebensalter
190	d3e2896Brockhaus-1837	Alter	Greisenalters
192	d3e2896Brockhaus-1837	Alter	Lebensaltern
193	d3e2968Brockhaus-1837	Amalgama	Zinnamalgame
194	d3e2968Brockhaus-1837	Amalgama	Silberamalgame
196	d3e3006Brockhaus-1837	Amaranth	Amaranthenarten
197	d3e3036Brockhaus-1837	Amazonen	Amazonenfluß
198	d3e3061Brockhaus-1837	Ambra	Vogelambra
199	d3e3061Brockhaus-1837	Ambra	Fischambra
200	d3e3061Brockhaus-1837	Ambra	Fuchsambra
201	d3e3109Brockhaus-1837	Ameisen	Ameisensäure
202	d3e3109Brockhaus-1837	Ameisen	Ameiseneier
203	d3e3109Brockhaus-1837	Ameisen	Ameisenspiritus
