ID	headword	compound
d3e108950DamenConvLex-1834	Pimpinelle (Botanik)	Steinpimpinelle
d3e109076DamenConvLex-1834	Piqué	Halbpiqué
d3e109143DamenConvLex-1834	Pisa	Pisaner
d3e109274DamenConvLex-1834	Pistole	Pistolen
d3e109446DamenConvLex-1834	Planeten	Planetensystems
d3e109568DamenConvLex-1834	Platane (Botanik)	Platanen
d3e110069DamenConvLex-1834	Pole	Himmelspole
d3e110118DamenConvLex-1834	Polen	Polens
d3e110232DamenConvLex-1834	Polonaise	Polonaisen
d3e110246DamenConvLex-1834	Polterabend	Polterabende
d3e110399DamenConvLex-1834	Polyphem (Mythologie)	Polyphem's
d3e110462DamenConvLex-1834	Pomade	Rindsmarkspomade
d3e110462DamenConvLex-1834	Pomade	Pomadenbüchsen
d3e110462DamenConvLex-1834	Pomade	Pomaden
d3e110497DamenConvLex-1834	Pommern	Vorpommern
d3e110497DamenConvLex-1834	Pommern	Hinterpommern
d3e110747DamenConvLex-1834	Porphyr (Mineralien)	Thonporphyr
