	EntryID	headword	compound
822	d2e94599Herder-1854	Calor	Calorifère
823	d2e94599Herder-1854	Calor	Calorification
824	d2e94928Herder-1854	Calw	Calwer
825	d2e95687Herder-1854	Campan [2]	Campaner
826	d2e95869Herder-1854	Campeche	Campecheholz
827	d2e96114Herder-1854	Campsie	Campsie-Fells
829	d2e96228Herder-1854	Canaille	Canaillerien
830	d2e96244Herder-1854	Canale [1]	Canalebanden
831	d2e96254Herder-1854	Canale [2]	Canaletto
832	d2e96623Herder-1854	Candidat	Candidatus
834	d2e96696Herder-1854	Candolle	Decandolle
835	d2e96951Herder-1854	Canna	Cannaceae
836	d2e97110Herder-1854	Canon [3]	Canonicität
837	d2e97110Herder-1854	Canon [3]	Canones
838	d2e97231Herder-1854	Canonissen	Säcularcanonissen
839	d2e97231Herder-1854	Canonissen	Regularcanonissen
840	d2e97420Herder-1854	Cantate [1]	Einweihungscantate
841	d2e97420Herder-1854	Cantate [1]	Kirchencantate
843	d2e97953Herder-1854	Capillar	Capillargefäße
844	d2e98013Herder-1854	Capitäl	Capitälchen
845	d2e98034Herder-1854	Capitän	Corvettencapitän
846	d2e98034Herder-1854	Capitän	Fregattencapitän
847	d2e98034Herder-1854	Capitän	Generalcapitän
848	d2e98053Herder-1854	Capital	Betriebscapital
849	d2e98053Herder-1854	Capital	Anlagecapital
850	d2e98053Herder-1854	Capital	Verbrauchscapital
851	d2e98053Herder-1854	Capital	Productivcapital
852	d2e98165Herder-1854	Capitel	Capiteleintheilung
853	d2e98223Herder-1854	Capitol	Capitolium
854	d2e98223Herder-1854	Capitol	Capitoliums
855	d2e98358Herder-1854	Capon	Capongh
857	d2e98378Herder-1854	Capot	Capottuch
858	d2e98875Herder-1854	Caquet	Caqueteur
859	d2e98895Herder-1854	Carabin	Carabinade
860	d2e99347Herder-1854	Carbonari	Carbonarismus
861	d2e100433Herder-1854	Carmenta	Carmentalia
862	d2e100639Herder-1854	Carneval	Carnevalsfeste
865	d2e102368Herder-1854	Cassation	Cassationshofe
866	d2e102368Herder-1854	Cassation	Cassationsinstitut
868	d2e102844Herder-1854	Castello [2]	Castello-di-Quarto
869	d2e103087Herder-1854	Castilien	Neucastilien
870	d2e103087Herder-1854	Castilien	Altcastilien
871	d2e103217Herder-1854	Castor	Castoreum
872	d2e103439Herder-1854	Casu	Casualität
873	d2e103439Herder-1854	Casu	Casualien
874	d2e103439Herder-1854	Casu	Casualismus
875	d2e103439Herder-1854	Casu	Casualisten
878	d2e105014Herder-1854	Ceder	Cedernholz
879	d2e105212Herder-1854	Celano	Celanosee
880	d2e105444Herder-1854	Cello, Cellist	Violoncello
882	d2e105796Herder-1854	Cent [2]	Centena
883	d2e105796Herder-1854	Cent [2]	Centenen
884	d2e106044Herder-1854	Centralbewegung	Centralbewegungen
887	d2e106387Herder-1854	Cerebral	Cerebralsystem
890	d2e106447Herder-1854	Ceremoniel	Hofceremoniel
891	d2e106447Herder-1854	Ceremoniel	Staatsceremoniel
892	d2e106506Herder-1854	Cerigo	Cerigotto
893	d2e106549Herder-1854	Cerium	Chlorceriums
894	d2e106559Herder-1854	Cerkopen	Cerkopenmarkt
895	d2e106955Herder-1854	Cessio	Cessionaren
896	d2e106955Herder-1854	Cessio	Cessionars
897	d2e106955Herder-1854	Cessio	Cessionar
900	d2e107274Herder-1854	Chacabuco	Tschacabuco
901	d2e107285Herder-1854	Chacao	Tschacao
902	d2e107305Herder-1854	Chaco	Tschaco
903	d2e107376Herder-1854	Chagos	Tschagos
