	EntryID	Headword	Results
97	d3e201354Brockhaus-1809	Die Türkei	Asien
98	d3e201354Brockhaus-1809	Die Türkei	asiatischen Türkei
99	d3e201354Brockhaus-1809	Die Türkei	Afrika
100	d3e201920Brockhaus-1809	Ungarn	erste
101	d3e201920Brockhaus-1809	Ungarn	Magnatentafel
102	d3e202222Brockhaus-1809	Die Union	Ligne
103	d3e202645Brockhaus-1809	Der St. Veits-Tanz	Tarantelstich
104	d3e202929Brockhaus-1809	Die Verfangenschaft	verfangene Güter
105	d3e204945Brockhaus-1809	Würzburg [2]	Marienberg
106	d3e204945Brockhaus-1809	Würzburg [2]	Frauenberg
107	d3e204945Brockhaus-1809	Würzburg [2]	Leiste
108	d3e204945Brockhaus-1809	Würzburg [2]	Leistenwein
109	d3e205148Brockhaus-1809	Zapaten (Sapaten)	Wirthschaften
110	d3e205275Brockhaus-1809	Philipp von Zesen (Cäsius)	deutschgesinnten Genossenschaft
111	d3e205505Brockhaus-1809	Der Zins	eiserne Capitale
112	d3e205505Brockhaus-1809	Der Zins	Rutscherzinsen
113	d3e205765Brockhaus-1809	Zoophyten	Scythische Lamm
114	d3e205765Brockhaus-1809	Zoophyten	Borametz
