	EntryID	Headword	Results
101	d3e9729Brockhaus-1809	Brandenburg, die Mark Brandenburg	Anspach
102	d3e9948Brockhaus-1809	Die geographische Breite	Aequator
103	d3e10053Brockhaus-1809	Bresche	Breche
104	d3e10090Brockhaus-1809	Der Breslauer Friede	Schlesien
105	d3e10115Brockhaus-1809	Gabriele Emilie von Breteueil	Chatelet
106	d3e10210Brockhaus-1809	Jean Pierre Brissot	Barrere
107	d3e10297Brockhaus-1809	Britannien	England
108	d3e10358Brockhaus-1809	Carl Broschi	Farinelli
109	d3e10938Brockhaus-1809	Cabarus	Tallien
110	d3e11426Brockhaus-1809	Der Calender	Aere
111	d3e11678Brockhaus-1809	Calvados	Departements von Frankreich
112	d3e11716Brockhaus-1809	Cambon	Mandat
113	d3e11949Brockhaus-1809	Der Canal	Calais
114	d3e12038Brockhaus-1809	Cannä	Hannibal
115	d3e12183Brockhaus-1809	Cantal	Departements von Frankreich
116	d3e12197Brockhaus-1809	Die Cantate	Oratorium
117	d3e12641Brockhaus-1809	Carl. der neunte	Bluthochzeit und Catharina von Medicis
118	d3e12655Brockhaus-1809	Carl der erste	Dissidenten
119	d3e12698Brockhaus-1809	Carl II.	Cromwell
120	d3e13131Brockhaus-1809	Cartes	Descartes
121	d3e13433Brockhaus-1809	Castor	Pollux
122	d3e13598Brockhaus-1809	Cato	Censor
123	d3e13876Brockhaus-1809	Der Chalcedonier	Achat
124	d3e14014Brockhaus-1809	Charybdis	Scylla
125	d3e14095Brockhaus-1809	Cher	Departements von Frankreich
126	d3e14416Brockhaus-1809	Marcus Tullius Cicero	Catilina
127	d3e14704Brockhaus-1809	Der Clairvoyant	Magnetismus
128	d3e14858Brockhaus-1809	Cleopatra	Antonius
129	d3e15230Brockhaus-1809	Das Coliseum	Amphitheater
130	d3e15350Brockhaus-1809	Christoph Columbo	Amerika
131	d3e15406Brockhaus-1809	Die Commenthurei	Ballei
132	d3e15608Brockhaus-1809	Confucius	China
133	d3e15917Brockhaus-1809	Der Contour	Umriß
134	d3e16274Brockhaus-1809	Correze	Departements von Frankreich
135	d3e16288Brockhaus-1809	Corse	Departements von Frankreich
136	d3e16420Brockhaus-1809	Cote d'or	Departements von Frankreich
137	d3e16434Brockhaus-1809	Cotes du Nord	Departements von Frankreich
138	d3e16620Brockhaus-1809	Creuse	Departements von Frankreich
139	d3e16740Brockhaus-1809	Academia della Crusca	Akademie
140	d3e17399Brockhaus-1809	Darius	Alexander der Große
141	d3e17516Brockhaus-1809	Die Decade	Calender
142	d3e17530Brockhaus-1809	Decan	Ostindien
143	d3e17755Brockhaus-1809	Dejanira	Herkules
144	d3e17859Brockhaus-1809	Demokrit	Abdera
145	d3e18997Brockhaus-1809	Die Dialectik	Logik
146	d3e19936Brockhaus-1809	Dover	Calais
147	d3e19965Brockhaus-1809	Dordogne	Departements von Frankreich
148	d3e19979Brockhaus-1809	Doubs	Departements von Frankreich
149	d3e20341Brockhaus-1809	Drome	Departements von Frankreich
150	d3e20383Brockhaus-1809	Die Druiden	Barden
151	d3e21084Brockhaus-1809	Elisabeth	Maria
152	d3e21188Brockhaus-1809	Elysium	Tartarus
153	d3e21392Brockhaus-1809	Emil	Rousseau
154	d3e21567Brockhaus-1809	Endymion	Diana
155	d3e21581Brockhaus-1809	England	Großbritannien
156	d3e21626Brockhaus-1809	Die entzündbare Luft	brennbare Luft
157	d3e21820Brockhaus-1809	Die Episcopalen	Dissenters
158	d3e22027Brockhaus-1809	Der Esquire	Gentleman
159	d3e22041Brockhaus-1809	Graf von Essek	Elisabeth
160	d3e22218Brockhaus-1809	Die Eumeniden	Furien
161	d3e22275Brockhaus-1809	Eure	Departements von Frankreich
162	d3e22289Brockhaus-1809	Eure und Loir	Departements von Frankreich
163	d3e22318Brockhaus-1809	Euripides	Aeschylus
164	d3e22418Brockhaus-1809	Hubert und Johann van Eyk	Johann
165	d3e22455Brockhaus-1809	Quintus Fabius Maximus	Dictator
166	d3e22504Brockhaus-1809	Fabre d'Eglantine	Calender
167	d3e22765Brockhaus-1809	Der Faltenwurf	Draperie
168	d3e22858Brockhaus-1809	Die Farbengebung	Colorit
169	d3e22982Brockhaus-1809	Die Fatalisten	Fatum
170	d3e23007Brockhaus-1809	Fatime	Muhamed
171	d3e23151Brockhaus-1809	Das Faustrecht	Fehde
172	d3e23266Brockhaus-1809	Febronius	Hontheim
173	d3e23368Brockhaus-1809	Die Felonie	Feudalsystem
174	d3e23530Brockhaus-1809	Die Fermate	Cadenz
175	d3e23673Brockhaus-1809	Die Feuerprobe	Gottesurtheile
176	d3e23891Brockhaus-1809	Finisterre	Departements von Frankreich
177	d3e24456Brockhaus-1809	Der Flügel	Tastatur
178	d3e24538Brockhaus-1809	Fohi	China
179	d3e24815Brockhaus-1809	Johann Georg Adam Forster	Cook
180	d3e24883Brockhaus-1809	Das Fortepiano	Flügel
181	d3e24927Brockhaus-1809	Fort Louis	Plan der Belagerung vom Fort Louis
182	d3e25042Brockhaus-1809	Carl Fox	Parlament in England
183	d3e25314Brockhaus-1809	Frankreich	Departements von Frankreich
184	d3e25314Brockhaus-1809	Frankreich	Flandern
185	d3e25314Brockhaus-1809	Frankreich	Assignat, Calonne, Mandat
186	d3e25532Brockhaus-1809	Franz der erste	Carl der fünfte
187	d3e25608Brockhaus-1809	Franz von Assisi	Franziscaner
188	d3e25978Brockhaus-1809	(Carl) Friedrich der zweite	Aachner Friede
189	d3e25978Brockhaus-1809	(Carl) Friedrich der zweite	Bayerischer Successionskrieg
190	d3e26814Brockhaus-1809	Ganganelli	Clemens
191	d3e26877Brockhaus-1809	Gard	Departements von Frankreich
192	d3e26891Brockhaus-1809	Obere Garonne	Departements von Frankreich
193	d3e26905Brockhaus-1809	Lot und Garonne	Departements von Frankreich
194	d3e27309Brockhaus-1809	Die Geige	Violine
195	d3e27408Brockhaus-1809	Gemara	Talmud
196	d3e27472Brockhaus-1809	Der Generalbaß	Tabulatur
197	d3e27792Brockhaus-1809	Die Republik Genua	Andreas Doria
198	d3e28125Brockhaus-1809	Gers	Departements von Frankreich
199	d3e28234Brockhaus-1809	Das Gewand	Draperie
200	d3e28407Brockhaus-1809	Die Giganten	Titanen
201	d3e28852Brockhaus-1809	Die Götterlehre	Mythologie
202	d3e28970Brockhaus-1809	Das goldene Fließ	Argonauten
203	d3e29131Brockhaus-1809	Golfo di Venezia	Adriatische Meer
204	d3e29219Brockhaus-1809	Die Gorgonen	Medusa
205	d3e29420Brockhaus-1809	Der Gottesfriede	Fehde
206	d3e29434Brockhaus-1809	Das Gottesurtheil	Ordalien
207	d3e29644Brockhaus-1809	Der Grad	geographische Breite
208	d3e29770Brockhaus-1809	Grau in Grau	Grisaille
209	d3e30049Brockhaus-1809	Der Greve-Platz	Paris
210	d3e30063Brockhaus-1809	Griechenland	Anacharsis
211	d3e30134Brockhaus-1809	Das Grillenwerk	Grottesken
212	d3e30234Brockhaus-1809	Großbritannien und Irland	Revolution von Nordamerika
213	d3e30512Brockhaus-1809	Die Grottesken oder Grillenwerk	Arabesken
214	d3e30679Brockhaus-1809	Die Guelfen	Gibellinen
215	d3e30745Brockhaus-1809	Guido	Gerbert
216	d3e30828Brockhaus-1809	Die Guillotine	Bastille
217	d3e31060Brockhaus-1809	Johann Guttenberg	Buchdruckerkunst
218	d3e31655Brockhaus-1809	Hanau	Hessen
219	d3e31669Brockhaus-1809	Hannibal	Capua
220	d3e31713Brockhaus-1809	Das Churfürstenthum Hannover	Harz
221	d3e31826Brockhaus-1809	Der hanseatische Bund	Fehde
222	d3e32072Brockhaus-1809	Die Harmonica	Davies
223	d3e32276Brockhaus-1809	Der Haruspex	Aruspices
224	d3e32491Brockhaus-1809	Der Hauptton	Tonica
225	d3e32505Brockhaus-1809	Das Hautrelief	Basrelief
226	d3e32604Brockhaus-1809	Hebenstreit	Pantaleon
227	d3e32685Brockhaus-1809	Die Heeresfolge	Heerbann
228	d3e32699Brockhaus-1809	Die Hegira	Hedschra
229	d3e32923Brockhaus-1809	Hektor	Achilles
230	d3e32980Brockhaus-1809	Helena	Troja
231	d3e33040Brockhaus-1809	Das Helldunkel	Haltung
232	d3e33085Brockhaus-1809	Der Hellespont	Dardanellen
233	d3e33124Brockhaus-1809	Heloise	Abelard
234	d3e33192Brockhaus-1809	Die Henriade	Voltaire
235	d3e33262Brockhaus-1809	Herault	Departements von Frankreich
236	d3e33276Brockhaus-1809	Herault Sechelles	Französische Constitution
237	d3e33328Brockhaus-1809	Herkules	Farnesische Pallast
238	d3e33547Brockhaus-1809	Herostatus	Dianentempelzu Ephesus
239	d3e33762Brockhaus-1809	Ernst Christian Hesse	Gambe
240	d3e34139Brockhaus-1809	Der Hierophant	Eleusinischen Geheimnisse
241	d3e34167Brockhaus-1809	Johann Adam Hiller	Händel
242	d3e34225Brockhaus-1809	Hindelbank	Bern
243	d3e34243Brockhaus-1809	Die Hindus	Ostindien
244	d3e34271Brockhaus-1809	Hippokrene	Helikon
245	d3e34369Brockhaus-1809	Der Hoch- und Deutschmeister	Deutschen Ritter
246	d3e34409Brockhaus-1809	Hochkirchen	Daun
247	d3e34945Brockhaus-1809	Horus	Isis
248	d3e35038Brockhaus-1809	Die Hugonotten	Pariser Bluthochzeit
249	d3e35808Brockhaus-1809	Die Iliade	Homer
250	d3e35822Brockhaus-1809	Ille und Villaine	Departements von Frankreich
251	d3e35924Brockhaus-1809	Die Incas	Ostindien
252	d3e35938Brockhaus-1809	Die Indianer	Ostindien
253	d3e35952Brockhaus-1809	Indien, Indostan	Ostindien
254	d3e35967Brockhaus-1809	Indre	Departements von Frankreich
255	d3e35981Brockhaus-1809	Indre und Loire	Departements von Frankreich
256	d3e36177Brockhaus-1809	Das Intermezzo	Madrigal
257	d3e36405Brockhaus-1809	Irland	Großbritannien
258	d3e36643Brockhaus-1809	Isabelle	Ferdinand der fünfte
259	d3e36643Brockhaus-1809	Isabelle	Isabelle
260	d3e36716Brockhaus-1809	Isere	Departements von Frankreich
261	d3e36741Brockhaus-1809	Isis	Jo
262	d3e36808Brockhaus-1809	Ismail	Ockzakow
263	d3e36865Brockhaus-1809	Die Isthmischen Spiele	Olympischen Spiele
264	d3e36879Brockhaus-1809	Italien	Departements von Frankreich
265	d3e36879Brockhaus-1809	Italien	Cispadanische Republik
266	d3e37130Brockhaus-1809	Die Jacobiner	Feuillans
267	d3e37535Brockhaus-1809	Jason	Argonauten
268	d3e38076Brockhaus-1809	Die Jongleurs	Minstrels
269	d3e38787Brockhaus-1809	Flavius Anicius Justinianus	Corpus Juris
270	d3e38787Brockhaus-1809	Flavius Anicius Justinianus	Belisarius
271	d3e39132Brockhaus-1809	Die Kalmücken	Mongolen
272	d3e39514Brockhaus-1809	Die Kasaken	Kosaken
273	d3e39828Brockhaus-1809	Wolfgang von Kempelen	Automat
274	d3e40157Brockhaus-1809	Das Kirchenrecht	canonische Recht
275	d3e40357Brockhaus-1809	Kloska	Horiah
276	d3e40682Brockhaus-1809	Der Koran	Alkoran
277	d3e41305Brockhaus-1809	Kronion	Jupiter
278	d3e41319Brockhaus-1809	Kronos	Saturnus
279	d3e41916Brockhaus-1809	Peter von Laar	Bambochade
280	d3e41930Brockhaus-1809	Labrador oder Neubritannien	Terreneuve
281	d3e42026Brockhaus-1809	Lacedämon oder Lakonien	Lykurgus
282	d3e42177Brockhaus-1809	Lachesis	Parzen
283	d3e42373Brockhaus-1809	Dalai Lama	China
284	d3e42518Brockhaus-1809	Landau	Fort Louis
285	d3e42641Brockhaus-1809	Der Landfriede	Fehde
286	d3e42659Brockhaus-1809	Landrecy	Fleurus
287	d3e42764Brockhaus-1809	Laokiun	China
288	d3e42860Brockhaus-1809	Largo	Adagio
289	d3e43072Brockhaus-1809	Laura de Sades	Petrarcha
290	d3e43229Brockhaus-1809	Die Laute	Lyra
291	d3e43265Brockhaus-1809	Lauterburg	Loutherburg
292	d3e43462Brockhaus-1809	Die Lazaroni	Neapel
293	d3e43476Brockhaus-1809	Lazur	Azur
294	d3e43501Brockhaus-1809	Leander	Hero
295	d3e43604Brockhaus-1809	Legendre	Jacobiner
296	d3e43618Brockhaus-1809	Das Lehen	Feudalsystem
297	d3e44085Brockhaus-1809	Leo der erste	Attila
298	d3e44178Brockhaus-1809	Leonidas	Lacedämon
299	d3e44430Brockhaus-1809	Marcus Aemilius Lepidus	Antonius
300	d3e44669Brockhaus-1809	Die Leyer	Gambe
301	d3e45180Brockhaus-1809	Livorno	Levante
302	d3e45363Brockhaus-1809	Friedrich, Freiherr von Logau	Ramler
303	d3e45432Brockhaus-1809	Loire [2]	Departements von Frankreich
304	d3e45714Brockhaus-1809	Die Longobarden	Langobarden
305	d3e45811Brockhaus-1809	Lot	Departements von Frankreich
306	d3e46032Brockhaus-1809	Louvre	Paris
307	d3e46072Brockhaus-1809	Loyds	Assecuranz
308	d3e46086Brockhaus-1809	Inigo von Loyola	Jesuiten
309	d3e46100Brockhaus-1809	Lozere	Departements von Frankreich
310	d3e46231Brockhaus-1809	Lucretia	Lucius Junius Brutus
311	d3e46339Brockhaus-1809	Ludwig der vierzehnte	Gartenkunst
312	d3e46339Brockhaus-1809	Ludwig der vierzehnte	Elsaß
313	d3e46339Brockhaus-1809	Ludwig der vierzehnte	Fronde
