	EntryID	Headword	Lemmasynonym
104	d3e191746Brockhaus-1809	Das Pfalgericht	Zaun-Gericht
105	d3e191762Brockhaus-1809	Pfalhecke	Pfalhayn
106	d3e191762Brockhaus-1809	Pfalhecke	Teufelsmauer
107	d3e191989Brockhaus-1809	Die Pharmacie	Pharmacevtik
108	d3e192004Brockhaus-1809	Pharus	Leuchtthurm
109	d3e193428Brockhaus-1809	Der Polaker	Polacre
110	d3e193428Brockhaus-1809	Der Polaker	Polaque
111	d3e193462Brockhaus-1809	Der Polarstern	Nordstern
112	d3e193462Brockhaus-1809	Der Polarstern	Leitstern
113	d3e193520Brockhaus-1809	Die Polize	Polise
114	d3e194156Brockhaus-1809	Die Präbende	Pfründe
115	d3e194963Brockhaus-1809	Die Propyläen	Vorhof
116	d3e195360Brockhaus-1809	Puzzolana	Puzzolanerde
117	d3e196000Brockhaus-1809	Die Rah	Raa
118	d3e196000Brockhaus-1809	Die Rah	Seegelstange
119	d3e196297Brockhaus-1809	Der Reiher	Reiger
120	d3e196698Brockhaus-1809	Risalit	Resalita
121	d3e197512Brockhaus-1809	Das Sahlbuch	Flurbuch
122	d3e197512Brockhaus-1809	Das Sahlbuch	Lagerbuch
123	d3e197512Brockhaus-1809	Das Sahlbuch	Erbregister
124	d3e197741Brockhaus-1809	Der Sarter	Zerter
125	d3e197831Brockhaus-1809	Scala	Gradlʼeiter
126	d3e197918Brockhaus-1809	Die Schaluppe	Chaluppe
127	d3e198183Brockhaus-1809	Der Schmelz	Schmelzglas
128	d3e198215Brockhaus-1809	Der Schörl	Schirl
129	d3e198277Brockhaus-1809	Schublehen	Schupflehen
130	d3e198277Brockhaus-1809	Schublehen	Falllehen
131	d3e198417Brockhaus-1809	Sciron	Scyron
132	d3e198946Brockhaus-1809	Sorbet	Tscherbet
133	d3e199374Brockhaus-1809	Das Steinöl	Bergöl
134	d3e199524Brockhaus-1809	Der Stör	sturio
135	d3e200242Brockhaus-1809	Taurien	Chersonesus Taurica
136	d3e200502Brockhaus-1809	Teutates	Theutates
137	d3e200729Brockhaus-1809	Tiraß	Tyras
138	d3e200997Brockhaus-1809	Tragant	Tragacant
139	d3e201178Brockhaus-1809	Tritheiten	Tritheisten
140	d3e201294Brockhaus-1809	Tschimbprasso	Chimborasso
141	d3e202182Brockhaus-1809	Ungarischen Krone	sacra corona regni hungarici
142	d3e202693Brockhaus-1809	Veliten	Velites
143	d3e202714Brockhaus-1809	Das Veltlin	Veltelin
144	d3e202714Brockhaus-1809	Das Veltlin	Val Tellin
145	d3e202714Brockhaus-1809	Das Veltlin	Telliner-Thal
146	d3e203014Brockhaus-1809	der Vertikal-Kreis	Scheitelkreis
147	d3e203370Brockhaus-1809	Die Volsker	Volsci
148	d3e203514Brockhaus-1809	Die Wacke	Wake
149	d3e204168Brockhaus-1809	Der Wels	Schaidfisch
150	d3e204187Brockhaus-1809	Das Weltauge	Hydrophan
151	d3e204218Brockhaus-1809	Der Werder	Werd
152	d3e204218Brockhaus-1809	Der Werder	Wörth
153	d3e204218Brockhaus-1809	Der Werder	Häger
154	d3e204600Brockhaus-1809	Windmesser	Anemometer
155	d3e205124Brockhaus-1809	Zamolxis	Samolses
156	d3e205365Brockhaus-1809	Der Zeugwärter	Zeugwart
157	d3e205819Brockhaus-1809	Zosterius	Zoster
