	EntryID	Headword	Results
79	d3e51440Brockhaus-1809	Elisabeth Mara	Todi
80	d3e51440Brockhaus-1809	Elisabeth Mara	Mara
81	d3e51968Brockhaus-1809	Maria Stuart	Maria
82	d3e51968Brockhaus-1809	Maria Stuart	Heinrich Darnley
83	d3e51968Brockhaus-1809	Maria Stuart	König Heinrich
84	d3e51968Brockhaus-1809	Maria Stuart	Rizzio
85	d3e52534Brockhaus-1809	Johann François Marmontel	Historiographen Frankreichs
86	d3e54083Brockhaus-1809	Bianca Capello, zweite Gemahlin Franz II. von Medici	Franz
87	d3e58150Brockhaus-1809	Das Geschlecht der Montmorency	Montmorency
88	d3e58150Brockhaus-1809	Das Geschlecht der Montmorency	Alexander de Crequi
89	d3e58150Brockhaus-1809	Das Geschlecht der Montmorency	Ludwigs
90	d3e58385Brockhaus-1809	Moritz, Graf von Sachsen	Grafen von Sachsen
91	d3e58665Brockhaus-1809	Johann Jacob Moser	Wirtembergischen Landschafts-Consulenten
92	d3e62127Brockhaus-1809	Der Nekrolog	Schlichtegroll
93	d3e66376Brockhaus-1809	Martin Opitz von Boberfeld	gekrönten Poeten
94	d3e66376Brockhaus-1809	Martin Opitz von Boberfeld	von Boberfeld
95	d3e71947Brockhaus-1809	Die Patricier	Patricier
96	d3e73560Brockhaus-1809	Peter I. Alexiewitsch	Zaars
97	d3e74756Brockhaus-1809	Der Pfalzgraf	Reichsgerichte
98	d3e74756Brockhaus-1809	Der Pfalzgraf	gewisse kaiserliche Reservatrechte
99	d3e77261Brockhaus-1809	Das physiokratische System	neue, ungewöhnliche
100	d3e77261Brockhaus-1809	Das physiokratische System	schwer zu entziffernde Wörter
101	d3e77964Brockhaus-1809	Pipin	Pipin von Herstall
102	d3e77964Brockhaus-1809	Pipin	östlichen Franken
103	d3e77964Brockhaus-1809	Pipin	Dagobert
104	d3e77964Brockhaus-1809	Pipin	Pipin Major Domus
105	d3e79432Brockhaus-1809	Die Familie der Polignac's	Grafen von Polignac
106	d3e80422Brockhaus-1809	Die Marquise von Pompadour	Marquise de Pompadour
107	d3e81590Brockhaus-1809	Der Prätendent	landete
108	d3e81590Brockhaus-1809	Der Prätendent	nordwestlichen Küsten von Schottland
109	d3e81590Brockhaus-1809	Der Prätendent	Anhang
110	d3e81590Brockhaus-1809	Der Prätendent	Schottland
111	d3e81590Brockhaus-1809	Der Prätendent	Bergschotten
112	d3e82990Brockhaus-1809	Prometheus	Aeschylus
113	d3e82990Brockhaus-1809	Prometheus	Prometheus
114	d3e82990Brockhaus-1809	Prometheus	Prometheus
115	d3e82990Brockhaus-1809	Prometheus	menschlichen Starrsinns
116	d3e82990Brockhaus-1809	Prometheus	Göthe
117	d3e82990Brockhaus-1809	Prometheus	Monolog
118	d3e83154Brockhaus-1809	Der Protector	Cromwell
119	d3e84993Brockhaus-1809	Roger Rabutin	Histoire amoureuse des Gaules
120	d3e86985Brockhaus-1809	Rastadter Congreß	Barras
121	d3e86985Brockhaus-1809	Rastadter Congreß	Reubel
122	d3e86985Brockhaus-1809	Rastadter Congreß	Treilhard
123	d3e86985Brockhaus-1809	Rastadter Congreß	Merlin
124	d3e87327Brockhaus-1809	Raugraf	Raugraf
125	d3e87327Brockhaus-1809	Raugraf	rauhen
126	d3e87327Brockhaus-1809	Raugraf	rauh
127	d3e87327Brockhaus-1809	Raugraf	Raugrafen
128	d3e87327Brockhaus-1809	Raugraf	Wild
129	d3e87327Brockhaus-1809	Raugraf	Raugraf
130	d3e87327Brockhaus-1809	Raugraf	Grafen
131	d3e87327Brockhaus-1809	Raugraf	Ludewigs
132	d3e87327Brockhaus-1809	Raugraf	Carl Ludwig
133	d3e87327Brockhaus-1809	Raugraf	Louise von Degenfeld
134	d3e87327Brockhaus-1809	Raugraf	raugräflichen
135	d3e87853Brockhaus-1809	René Antoine Ferchault von Reaumur	LʼArt de convertir le Fer-forgé en Acier, et lʼArt dʼ adoucir le Fer-fondu, et de faire des Ouvrages de Fer-fondu aussi finis que de Ferforgé
136	d3e90722Brockhaus-1809	Reichs-Hofrath	Reichshofraths-Ordnung
137	d3e91243Brockhaus-1809	Reichsvicarien	Vicarins durch Italien
138	d3e91612Brockhaus-1809	Reinike der Fuchs	Heinrich von Alkmar
139	d3e91612Brockhaus-1809	Reinike der Fuchs	Rollenhagen
140	d3e91612Brockhaus-1809	Reinike der Fuchs	Nicolaus Baumann
141	d3e93438Brockhaus-1809	Revolution von England	alle drei Jahre
142	d3e93438Brockhaus-1809	Revolution von England	Staatsrath
143	d3e94059Brockhaus-1809	Revolution von Frankreich	Noailleʼs
144	d3e94059Brockhaus-1809	Revolution von Frankreich	Ober-Consul
145	d3e97400Brockhaus-1809	Samuel Richardson	Clarisse
146	d3e97400Brockhaus-1809	Samuel Richardson	Musäus
147	d3e97400Brockhaus-1809	Samuel Richardson	Grandison der Zweite
148	d3e97400Brockhaus-1809	Samuel Richardson	Kosegarten
149	d3e97467Brockhaus-1809	Richelieu	 Cardinal
150	d3e97467Brockhaus-1809	Richelieu	Ministers
151	d3e97467Brockhaus-1809	Richelieu	Ludwig
152	d3e97467Brockhaus-1809	Richelieu	Titel
153	d3e97467Brockhaus-1809	Richelieu	Königs
154	d3e98613Brockhaus-1809	Maximilian Robespierre	Louvet
155	d3e99028Brockhaus-1809	Römischer König	Königs
