	EntryID	Headword	synonym
99	d3e75713Brockhaus-1809	Die Philosophie	Weltkenntniß
100	d3e75713Brockhaus-1809	Die Philosophie	practisch
101	d3e76759Brockhaus-1809	Der Phosphorus	austreten
102	d3e77013Brockhaus-1809	Die Physik	empirische Physik
103	d3e77013Brockhaus-1809	Die Physik	rationale
104	d3e77013Brockhaus-1809	Die Physik	empirische
105	d3e77222Brockhaus-1809	Die Physiognomik	Laune
106	d3e77261Brockhaus-1809	Das physiokratische System	Oekonomisten
107	d3e77261Brockhaus-1809	Das physiokratische System	neu sein sollendes
108	d3e79181Brockhaus-1809	Pluto	Aides
109	d3e79905Brockhaus-1809	Marquis von Pombal	Secretair der auswärtigen Angelegenheiten
110	d3e79905Brockhaus-1809	Marquis von Pombal	Adlicher
111	d3e80957Brockhaus-1809	Nicolo Porpora	Uberti
112	d3e83235Brockhaus-1809	Der Psalter oder das Psalterspiel	Nebel
113	d3e84028Brockhaus-1809	Pythagoras	im sechsten
114	d3e84688Brockhaus-1809	Rabatt	für
115	d3e84688Brockhaus-1809	Rabatt	in
116	d3e85085Brockhaus-1809	Racen der Menschen	Bastardgeschöpfe
117	d3e85782Brockhaus-1809	Jean Racine	Racine
118	d3e86270Brockhaus-1809	Rak	Arak
119	d3e86734Brockhaus-1809	Raphael Sanzio	Perugino
120	d3e87833Brockhaus-1809	Reassecuranz	Wiederversicherung
121	d3e88663Brockhaus-1809	Refraction	Neigungsloth
122	d3e88663Brockhaus-1809	Refraction	parallele
123	d3e88663Brockhaus-1809	Refraction	convergirende
124	d3e89043Brockhaus-1809	Regalien	Majestätsrechte
125	d3e89043Brockhaus-1809	Regalien	Herrschergewalt
126	d3e89043Brockhaus-1809	Regalien	Justizgewalt
127	d3e89043Brockhaus-1809	Regalien	executive Gewalt
128	d3e89043Brockhaus-1809	Regalien	Kammergüter
129	d3e89439Brockhaus-1809	Regel Detri	Vermischungs-Rechnung
130	d3e89543Brockhaus-1809	Regen	Hagel
131	d3e90401Brockhaus-1809	Reichsarmee	Reichsmatrikel
132	d3e90846Brockhaus-1809	Reichsritterschaft	Orte
133	d3e91012Brockhaus-1809	Reichstag	fortwährende
134	d3e91243Brockhaus-1809	Reichsvicarien	Rheinischen
135	d3e92336Brockhaus-1809	Renegaten	Charadjh
136	d3e92923Brockhaus-1809	Das Responsum	Schöppenstühle
137	d3e96818Brockhaus-1809	Rhapsodie	Callisthenes
138	d3e96973Brockhaus-1809	Rheder	Mitrheder
139	d3e97176Brockhaus-1809	Rhodus	Rhodiser-Holz
140	d3e97176Brockhaus-1809	Rhodus	Johanniterrittern
141	d3e97312Brockhaus-1809	Der Rhythmus	Tanzschritt
142	d3e98326Brockhaus-1809	Ritterorden	Maltheser
143	d3e98387Brockhaus-1809	Ritterschaft	mittelbare Ritterschaft
144	d3e98906Brockhaus-1809	Römermonate	Pfennigmeister
145	d3e99086Brockhaus-1809	Das Roer Departement	Ruhr-Fluß
146	d3e99220Brockhaus-1809	Die Rolandssäulen	Rolandssäulen
147	d3e100100Brockhaus-1809	Romulus	Sectionen
148	d3e100100Brockhaus-1809	Romulus	Comitien
149	d3e100918Brockhaus-1809	Die Roupie	Courou
150	d3e102539Brockhaus-1809	Sachsen	Billingen
151	d3e103319Brockhaus-1809	Die Säulenordnung	Italiänische
152	d3e103875Brockhaus-1809	Das Salz	Zucker
153	d3e104328Brockhaus-1809	Die Sanskritsprache	Samskret
154	d3e104328Brockhaus-1809	Die Sanskritsprache	Bedas
155	d3e104662Brockhaus-1809	Die Satire	Lehrgedicht
156	d3e104662Brockhaus-1809	Die Satire	Mentzers
157	d3e105409Brockhaus-1809	Das Schachspiel	alte
158	d3e105409Brockhaus-1809	Das Schachspiel	große
159	d3e105409Brockhaus-1809	Das Schachspiel	Ferz
160	d3e105409Brockhaus-1809	Das Schachspiel	Springer; Roch
161	d3e105409Brockhaus-1809	Das Schachspiel	Elephant
162	d3e105605Brockhaus-1809	Die Schamanen	Schigemunischen
163	d3e105724Brockhaus-1809	Das Schauspiel	Waldgedichte
164	d3e105724Brockhaus-1809	Das Schauspiel	Handlungen
165	d3e105724Brockhaus-1809	Das Schauspiel	Aufsätze
166	d3e105724Brockhaus-1809	Das Schauspiel	Drama
167	d3e105724Brockhaus-1809	Das Schauspiel	Aufzüge
168	d3e106649Brockhaus-1809	Die Schifffahrt	Flöße
169	d3e107019Brockhaus-1809	Schilling	Sous
170	d3e107820Brockhaus-1809	Die Schöppen	Scheffen
171	d3e108307Brockhaus-1809	Die Schreibekunst	Steganographie
172	d3e108680Brockhaus-1809	Schrot	Hagel
173	d3e108760Brockhaus-1809	Schuit	Silberschuit
174	d3e109123Brockhaus-1809	Schweden	Othinus
175	d3e109123Brockhaus-1809	Schweden	Fylkisfürsten
176	d3e109123Brockhaus-1809	Schweden	freien Bauern
177	d3e109123Brockhaus-1809	Schweden	Dalekarlien
178	d3e109123Brockhaus-1809	Schweden	Dalekerls
179	d3e109966Brockhaus-1809	Die Schweiz	zugewandten Orten
180	d3e109966Brockhaus-1809	Die Schweiz	Alpengen
181	d3e109966Brockhaus-1809	Die Schweiz	Sennthütten
182	d3e109966Brockhaus-1809	Die Schweiz	Rüß
183	d3e112316Brockhaus-1809	Die Seiks	Nanec
184	d3e112841Brockhaus-1809	Die Sennen	Sente
185	d3e113203Brockhaus-1809	Das Serail	Sarai
186	d3e113203Brockhaus-1809	Das Serail	Assaki
187	d3e113612Brockhaus-1809	Sevilla	Nieder-Andalusien
188	d3e114572Brockhaus-1809	Sidon	Seida
189	d3e116038Brockhaus-1809	Die Skeptiker	Skepticismus
190	d3e116868Brockhaus-1809	Der Soloecismus	Solos
191	d3e117728Brockhaus-1809	Das Spießglas	orientalischen Löwen
192	d3e119116Brockhaus-1809	Das Stapel-Recht	beschränktes
193	d3e119180Brockhaus-1809	Statik	Aerostatik
194	d3e119333Brockhaus-1809	Die Steganographie	ein Wort
195	d3e120512Brockhaus-1809	Steuern	Beten
196	d3e120788Brockhaus-1809	Stifte	geistliche
197	d3e120788Brockhaus-1809	Stifte	Unterstifte
198	d3e120788Brockhaus-1809	Stifte	Bisthümer
199	d3e120788Brockhaus-1809	Stifte	fürstlich
200	d3e121530Brockhaus-1809	Der Stockfisch	Terreneuve
201	d3e121641Brockhaus-1809	Die Stoiker	Logik
202	d3e122070Brockhaus-1809	Die Strelitzen	Strelzi
203	d3e122920Brockhaus-1809	Die Schreibart	pathetische
204	d3e122920Brockhaus-1809	Die Schreibart	gemäßigte
205	d3e122920Brockhaus-1809	Die Schreibart	komische Schreibart
206	d3e123757Brockhaus-1809	Die Sundischen Inseln	Pulo Penang
207	d3e123757Brockhaus-1809	Die Sundischen Inseln	Macassar
208	d3e124679Brockhaus-1809	Spanien [2]	Saracenen
209	d3e124679Brockhaus-1809	Spanien [2]	Hidalgos
210	d3e124679Brockhaus-1809	Spanien [2]	Türke
211	d3e125987Brockhaus-1809	Tackel, Tackelwerk	antackeln
212	d3e126439Brockhaus-1809	Tanchelin	Danguinarier
213	d3e126871Brockhaus-1809	Die Tartarei	Europäische
214	d3e126871Brockhaus-1809	Die Tartarei	Asiatische
215	d3e127725Brockhaus-1809	Das Telescop	Augenglas
216	d3e127725Brockhaus-1809	Das Telescop	Holländische
217	d3e127788Brockhaus-1809	Wilhelm Tell	Tocho
218	d3e128373Brockhaus-1809	Der Terpentin	Geigenharz
219	d3e128423Brockhaus-1809	Terra firma	das goldne Castilien
220	d3e129068Brockhaus-1809	Thamyris - Thamyras	Theogenie
221	d3e130147Brockhaus-1809	Das Thermometer	Gefrier-Punkt
222	d3e130505Brockhaus-1809	Thomas von Kempis	Hämmerlein
223	d3e130824Brockhaus-1809	Thracien	Romelien
224	d3e130973Brockhaus-1809	Thüringen	Gothaische
225	d3e131562Brockhaus-1809	Thurn und Taxis	Taxis
226	d3e132457Brockhaus-1809	Tockay	Tock
227	d3e133228Brockhaus-1809	Die Tortur	peinliche Frage
228	d3e134148Brockhaus-1809	Tribonianus	Pandekten
229	d3e134964Brockhaus-1809	Die Troubadours	eigentlichen Troubadours
230	d3e135580Brockhaus-1809	Tunkin	Fohi
231	d3e135621Brockhaus-1809	Der Turban	Dülbend
232	d3e135881Brockhaus-1809	Tycho von Brahe	Ween
233	d3e136010Brockhaus-1809	Typhon [2]	Trompete
234	d3e136086Brockhaus-1809	Tyrol	Innthal
235	d3e137931Brockhaus-1809	Die Vaseu	Nolanische Gefäße
236	d3e138205Brockhaus-1809	Die Vehm-Gerichte	Vehm
237	d3e138258Brockhaus-1809	Veleda, oder Velleda	Holle
238	d3e138536Brockhaus-1809	Venus [2]	Cupido
239	d3e138641Brockhaus-1809	Versteinerung	Concremente
240	d3e138964Brockhaus-1809	Viaticum	Zehrpfennig
241	d3e139247Brockhaus-1809	Das Vicariat	Zwischenregierung
242	d3e140137Brockhaus-1809	Die Völkerwanderung	Schwaben
243	d3e140137Brockhaus-1809	Die Völkerwanderung	Kurzen
244	d3e141081Brockhaus-1809	Wahlcapitulation	Fundamenmental-
245	d3e141221Brockhaus-1809	Wahlreich	Nation
246	d3e141221Brockhaus-1809	Wahlreich	Wahl
247	d3e141399Brockhaus-1809	Die Wallachei	eigentliche
248	d3e142121Brockhaus-1809	Die Wasserprobe	wallenden Kessels
249	d3e143049Brockhaus-1809	Westindien	Bahama-Juseln
250	d3e143049Brockhaus-1809	Westindien	Sommers-Inseln
251	d3e145063Brockhaus-1809	Xenophon	Muse
252	d3e145923Brockhaus-1809	Die vier Zeitalter	erztne Zeitalter
253	d3e146300Brockhaus-1809	Das Zetergeschrei	Blutschreier
254	d3e147088Brockhaus-1809	Der gerichtliche Zweikampf	Ordalien
